submission_pk,User,F1 Score,Precision,Recall
866507,ramyamounir,0.6718 (1),0.6110 (2),0.7462 (1),
851516,leiwx52,0.6185 (2),0.6171 (1),0.6200 (2),
852490,wasun,0.4593 (3),0.5138 (3),0.4153 (3),
872057,kmizz,0.2984 (4),0.3018 (4),0.2950 (4),
