submission_pk,User,Average AP
471526,kevin,0.6968 (1),
471484,litttle_monster,0.6440 (2),
470858,wider_ped,0.6281 (3),
471546,dereyly,0.6249 (4),
471422,fourzerotwo,0.6117 (5),
471537,liuwei16,0.6045 (6),
471480,VI,0.5961 (7),
471495,luoyan,0.5815 (8),
471394,Solli,0.5812 (9),
470041,Leo_Xie,0.5677 (10),
471489,guyubit,0.5635 (11),
470437,zhuoranwu,0.5547 (12),
469830,zjf,0.5525 (13),
471385,LornaLiu,0.5488 (14),
471190,westbrook,0.5486 (15),
470941,william,0.5465 (16),
471448,ayantian,0.5261 (17),
470951,lincz,0.5155 (18),
471019,razorbacks,0.4999 (19),
470834,kquach,0.4914 (20),
468835,sound,0.4862 (21),
471535,zhaoyu007,0.4803 (22),
469773,johnnylai,0.4685 (23),
471144,wxmt,0.4623 (24),
471241,Hiroshi_Fukui,0.4138 (25),
468677,phunghx,0.4096 (26),
471550,milton.2002,0.4061 (27),
469429,GwanSiu,0.3932 (28),
469511,wangyixin,0.3826 (29),
470580,gyhy,0.3693 (30),
470286,HairongWang,0.3522 (31),
471299,YeDoosteKhoob,0.3187 (32),
470057,lsobls,0.2985 (33),
470699,fayzur20,0.2465 (34),
471330,asanka,0.0669 (35),
