submission_pk,User,< Rank >,Pearson r,RMSE,MAE,Disk Footprint,Model Params
936685,HW-TSC,1.80 (1),0.7976 (1),0.1362 (1),0.0988 (1),2243954093.0 (3),560944640.0 (3),
940594,IST-Unbabel,2.80 (3),0.7182 (2),0.1612 (2),0.1256 (2),2294887576.0 (4),569368609.0 (4),
940560,fblain,2.60 (2),0.6255 (3),0.2052 (4),0.1599 (4),1142441796.0 (1),281297685.0 (1),
936009,shch,2.80 (3),0.5721 (4),0.1763 (3),0.1392 (3),1363652116.0 (2),502000000.0 (2),
