submission_pk,User,Adapted model,Adapted model,< Rank >,Source model,Source model
,ACC,AUROC,ACC,AUROC
994131,babychick,69.79 (5),3.0 (1),69.79 (1),,,,,
993885,liaohaojin,70.72 (4),4.0 (2),64.48 (5),,,,,
993441,chamorajg,76.86 (3),4.0 (2),50.00 (17),,,,,
994443,DXM-DI-AI-CV-TEAM,68.29 (6),4.5 (3),62.43 (8),,,,,
994181,fomenxiaoseng,78.76 (2),5.0 (4),60.43 (12),,,,,
994402,cuishuhao,80.88 (1),7.5 (5),56.01 (15),,,,,
994045,munatuna,64.21 (15),8.5 (6),64.21 (6),,,,,
993039,pelican,66.09 (8),8.5 (6),67.10 (3),,,,,
992464,paint,64.95 (13),9.5 (7),59.93 (13),,,,,
994188,BVMTGroup,65.17 (10),10.0 (8),50.00 (17),,,,,
994009,AiRLab,65.12 (11),11.0 (9),50.00 (17),,,,,
994337,NAJSIO,65.09 (12),12.0 (10),50.00 (17),,,,,
994219,paulc,60.92 (19),13.0 (11),60.92 (10),,,,,
993684,vipa,65.47 (9),13.0 (11),56.81 (14),,,,,
991837,NPNL,67.96 (7),13.5 (12),67.50 (2),,,,,
994439,pdebartol,63.68 (16),14.5 (13),63.68 (7),,,,,
993588,ameterez,63.68 (16),16.0 (14),63.68 (7),,,,,
993271,lostkevin,64.38 (14),16.5 (15),66.16 (4),,,,,
993672,daemin,60.10 (21),18.0 (16),50.00 (17),,,,,
989495,ReinerMe,62.16 (17),19.0 (17),50.00 (17),,,,,
993473,seninarukana,60.63 (20),19.0 (17),60.44 (11),,,,,
983979,MInenr,61.91 (18),20.5 (18),61.91 (9),,,,,
983977,usmn,52.51 (22),22.0 (19),61.91 (9),,,,,
994125,lorenzo,50.16 (23),23.5 (20),50.23 (16),,,,,
