submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1] / GPU [0],Extra Data [1] / No Extra Data [0]
446851,ghgh3269,0.00 (1),0.00 (1),1.08 (14),0.00 (2),1.00 (1),
446569,jingliting,0.00 (1),0.00 (1),0.72 (15),0.00 (2),0.00 (2),
446658,BMIPL_UNIST,0.00 (1),0.00 (1),4.51 (6),0.00 (2),0.00 (2),
446583,nmhkahn,0.00 (1),0.00 (1),13.84 (4),0.00 (2),0.00 (2),
446589,JSChoi,0.00 (1),0.00 (1),1.60 (13),0.00 (2),0.00 (2),
446679,yyuan13,0.00 (1),0.00 (1),0.10 (17),0.00 (2),0.00 (2),
446695,MingQiu,0.00 (1),0.00 (1),30.00 (2),0.00 (2),0.00 (2),
446605,Hot_Milk,0.00 (1),0.00 (1),2.10 (10),0.00 (2),0.00 (2),
446620,boe_sbg,0.00 (1),0.00 (1),4.34 (7),0.00 (2),0.00 (2),
446645,cskzh,0.00 (1),0.00 (1),0.20 (16),0.00 (2),0.00 (2),
446879,adamian98,0.00 (1),0.00 (1),18.00 (3),0.00 (2),0.00 (2),
446819,enoch,0.00 (1),0.00 (1),1.83 (12),0.00 (2),0.00 (2),
446684,jhyume,0.00 (1),0.00 (1),7.24 (5),0.00 (2),0.00 (2),
446862,NMH,0.00 (1),0.00 (1),3.31 (8),0.00 (2),0.00 (2),
446755,lpj008,0.00 (1),0.00 (1),0.20 (16),0.00 (2),0.00 (2),
446626,mikigom,0.00 (1),0.00 (1),396.00 (1),1.00 (1),0.00 (2),
446359,cr2018,0.00 (1),0.00 (1),1.94 (11),0.00 (2),0.00 (2),
446375,yifita,0.00 (1),0.00 (1),2.94 (9),1.00 (1),-1.00 (3),
