submission_pk,User,Accuracy,Recall,Precision,F1
417048,job80,0.8306 (1),0.8800 (2),0.8310 (3),0.85 (1),
417018,Phenix,0.8094 (2),0.8659 (4),0.8073 (4),0.84 (2),
416962,andres,0.8012 (3),0.8876 (1),0.7657 (6),0.82 (4),
416971,migue,0.8012 (3),0.8876 (1),0.7657 (6),0.82 (4),
416882,mgraffg,0.8002 (4),0.8726 (3),0.7810 (5),0.82 (3),
417005,argenis,0.7588 (5),0.8605 (5),0.7137 (7),0.78 (6),
417022,ClaudiaSanchez,0.7430 (6),0.8493 (7),0.6950 (8),0.76 (7),
416921,sadit,0.7166 (7),0.7096 (12),0.8933 (2),0.79 (5),
416825,octavioloyola,0.7076 (8),0.8502 (6),0.6223 (12),0.72 (9),
416849,dmocteo,0.6846 (9),0.7820 (8),0.6577 (10),0.71 (10),
416955,luis.pellegrin,0.6448 (10),0.7179 (10),0.6720 (9),0.69 (11),
416816,hugo.jair,0.6278 (11),0.7590 (9),0.5563 (13),0.64 (13),
416822,naman,0.6264 (12),0.7146 (11),0.6283 (11),0.67 (12),
416827,miguelgarcia,0.6000 (13),0.6000 (14),1.0000 (1),0.75 (8),
416975,victor,0.4994 (14),0.5976 (15),0.5070 (14),0.55 (14),
416904,barb,0.4790 (15),0.6002 (13),0.3943 (15),0.48 (15),
