submission_pk,User,PSNR,SSIM,Runtime per image [s],Parameters,Extra Data [1] / No Extra Data [0]
490592,ZhiSong_Liu,29.33 (1),0.8266 (1),10.598 (9),2494593.0 (8),1.0 (1),
492987,WangChaofeng,29.20 (2),0.8237 (2),1.296 (8),1387258.0 (4),0.0 (2),
493699,zheng222,29.10 (3),0.8216 (3),0.100 (4),893936.0 (1),1.0 (1),
494059,BearMaxZJU,29.02 (4),0.8202 (4),0.080 (2),1227340.0 (3),0.0 (2),
490526,XXH,29.01 (5),0.8195 (6),0.233 (7),2078736.0 (7),1.0 (1),
483090,MSRResNet-baseline,29.00 (6),0.8199 (5),0.170 (6),1517571.0 (5),1.0 (1),
494450,neptuneai,28.96 (7),0.8184 (7),0.010 (1),1591963.0 (6),0.0 (2),
493068,q935970314,28.89 (8),0.8166 (8),0.090 (3),1127064.0 (2),0.0 (2),
491154,PaParaZz1,28.35 (9),0.8027 (9),0.168 (5),1517571.0 (5),0.0 (2),
