submission_pk,User,F1 Score,Precision,Recall
899708,jwkim,0.8363 (1),0.8191 (3),0.8542 (5),
900906,Visual_Analysis_of_Humans,0.8309 (2),0.8477 (2),0.8148 (7),
900537,csn,0.8114 (3),0.7466 (5),0.8885 (1),
893358,ZhiminGao,0.8045 (4),0.7718 (4),0.8400 (6),
1136038,lufficc,0.7973 (5),0.8918 (1),0.7209 (10),
891031,rocking,0.7833 (6),0.7098 (7),0.8739 (2),
890913,hugU,0.7825 (7),0.7124 (6),0.8680 (3),
897686,wang3702,0.7179 (8),0.6505 (9),0.8009 (8),
897687,CoSeg,0.7145 (9),0.6583 (8),0.7813 (9),
893409,grodriguez,0.6642 (10),0.5410 (10),0.8599 (4),
