submission_pk,User,Prediction score,Duration
540637,shubham14100,0.9526 (1),0.00 (1),
1145802,Kust119,0.9494 (2),0.00 (1),
566109,shiv_sbilab,0.9486 (3),0.00 (1),
520389,yspan,0.9357 (4),0.00 (1),
1136508,Able985,0.9311 (5),0.00 (1),
683682,liuyunfei,0.9234 (6),0.00 (1),
1101461,harsh19466,0.9220 (7),0.00 (1),
740713,lyhthienan,0.9194 (8),0.00 (1),
541930,thling,0.9173 (9),0.00 (1),
922333,Matteo_R,0.8965 (10),0.00 (1),
819513,Sakshi_Shriya,0.8891 (11),0.00 (1),
663433,shuaizhang,0.8891 (11),0.00 (1),
483249,jprellberg,0.8891 (11),0.00 (1),
492268,meowmax,0.8797 (12),0.00 (1),
497896,wnawaz.msee16seecs,0.8667 (13),0.00 (1),
498692,Elwyslan,0.8635 (14),0.00 (1),
540969,mabext,0.8599 (15),0.00 (1),
542393,liprep,0.8466 (16),0.00 (1),
753333,o.malagon,0.8446 (17),0.00 (1),
994537,ln2,0.8340 (18),0.00 (1),
1133456,omar_khattab,0.8191 (19),0.00 (1),
525356,aoao917,0.8115 (20),0.00 (1),
842578,wulongshi,0.7672 (21),0.00 (1),
842390,wwwendy,0.7557 (22),0.00 (1),
929662,Mashfiq,0.5772 (23),0.00 (1),
533861,arthurgsf,0.5706 (24),0.00 (1),
938110,ashish_2001,0.5224 (25),0.00 (1),
848507,HANHAN,0.4611 (26),0.00 (1),
516157,Hammad_Mir,0.0910 (27),0.00 (1),
