submission_pk,User,Pearson,Spearman,MAE,MSE,R2
767727,DeepBlueAI,0.8612 (1),0.8526 (3),0.0616 (59),0.0063 (59),0.7389 (1),
774666,rg_pa,0.8575 (2),0.8529 (2),0.0672 (54),0.0072 (55),0.7035 (5),
774723,xiang_wen_tian,0.8571 (3),0.8548 (1),0.0675 (53),0.0072 (53),0.7012 (7),
772455,andi_gpu,0.8543 (4),0.8448 (5),0.0664 (56),0.0071 (56),0.7055 (4),
774778,ren_wo_xing,0.8541 (5),0.8473 (4),0.0677 (51),0.0073 (52),0.6967 (8),
771250,armand.rotaru,0.8506 (6),0.8381 (7),0.0667 (55),0.0070 (58),0.7107 (2),
774909,abdelkader,0.8489 (7),0.8406 (6),0.0760 (32),0.0087 (33),0.6380 (27),
771793,ochadai,0.8438 (8),0.8285 (12),0.0660 (58),0.0070 (57),0.7103 (3),
768229,zz,0.8417 (9),0.8299 (9),0.0677 (52),0.0072 (54),0.7030 (6),
775057,Andoree,0.8406 (10),0.8337 (8),0.0686 (49),0.0073 (51),0.6967 (9),
855653,SD1226,0.8362 (11),0.8290 (10),0.0660 (57),0.0074 (50),0.6922 (10),
852991,cs60075_team2,0.8358 (12),0.8193 (19),0.0704 (45),0.0078 (46),0.6766 (14),
772213,jiu_mo_zhi,0.8355 (13),0.8277 (13),0.0710 (44),0.0083 (39),0.6560 (21),
855427,ankit_bagde,0.8325 (14),0.8285 (11),0.0855 (15),0.0118 (11),0.5129 (49),
774837,csecudsg,0.8311 (15),0.8153 (22),0.0678 (50),0.0077 (48),0.6825 (12),
769245,acccb,0.8310 (16),0.8157 (20),0.0697 (47),0.0076 (49),0.6850 (11),
855641,vipray,0.8285 (17),0.8083 (29),0.0711 (42),0.0081 (42),0.6628 (18),
855299,hareshg,0.8285 (18),0.8108 (24),0.0696 (48),0.0077 (47),0.6820 (13),
775010,ethanchi,0.8280 (19),0.8124 (23),0.0711 (43),0.0080 (43),0.6671 (17),
773890,neilrs,0.8277 (20),0.8228 (14),0.0811 (21),0.0098 (26),0.5949 (34),
855583,nileshmandal015,0.8270 (21),0.8218 (16),0.0812 (20),0.0098 (25),0.5931 (35),
855448,kshitizs2809,0.8251 (22),0.8202 (18),0.0721 (39),0.0083 (40),0.6567 (20),
