submission_pk,User,F1-score,Precision,Recall,Accuracy
672592,kpriyanshu256,0.9096 (1),0.9135 (2),0.9057 (12),0.9150 (1),
674175,AGMoller,0.9096 (2),0.9029 (6),0.9163 (7),0.9140 (2),
674228,SupportNUTMachine,0.9094 (3),0.9046 (5),0.9142 (8),0.9140 (2),
674048,FranziskaPannach,0.9091 (4),0.8919 (13),0.9269 (3),0.9125 (3),
674262,niksss,0.9085 (5),0.8918 (14),0.9258 (4),0.9120 (4),
672656,anshul.wadhawan,0.9037 (6),0.8934 (12),0.9142 (8),0.9080 (5),
674167,nickil21,0.9011 (7),0.8768 (24),0.9269 (3),0.9040 (8),
673041,tuananh7198,0.9008 (8),0.8588 (34),0.9470 (1),0.9015 (12),
674328,QuangPH3,0.9005 (9),0.8728 (27),0.9301 (2),0.9030 (10),
674279,hansih,0.9004 (10),0.9102 (4),0.8909 (18),0.9070 (6),
673920,kumudchauhan,0.8992 (11),0.8959 (10),0.9025 (13),0.9045 (7),
674199,hanoi001,0.8991 (12),0.8787 (22),0.9206 (6),0.9025 (11),
674250,HuyQD,0.8989 (13),0.8891 (16),0.9089 (11),0.9035 (9),
673019,miopas,0.8974 (14),0.8744 (26),0.9216 (5),0.9005 (14),
673159,dreamriver,0.8973 (15),0.8751 (25),0.9206 (6),0.9005 (14),
674043,IDSOU,0.8964 (16),0.8988 (8),0.8941 (17),0.9025 (11),
674309,kellinpelrine,0.8945 (17),0.9195 (1),0.8708 (23),0.9030 (10),
674242,amagge,0.8941 (18),0.9028 (7),0.8856 (20),0.9010 (13),
673780,ayan7246,0.8940 (19),0.8857 (18),0.9025 (13),0.8990 (15),
673984,mallasree,0.8914 (20),0.8594 (33),0.9258 (4),0.8935 (20),
673863,Taro_Miyazaki,0.8898 (21),0.8985 (9),0.8814 (21),0.8970 (16),
673813,hurrial,0.8887 (22),0.8655 (29),0.9131 (9),0.8920 (21),
674183,prakashbabu23,0.8887 (23),0.8772 (23),0.9004 (14),0.8935 (20),
673566,vund,0.8884 (24),0.8956 (11),0.8814 (21),0.8955 (17),
674122,huynhtin,0.8881 (25),0.8853 (19),0.8909 (18),0.8940 (19),
674105,SU-NLP,0.8881 (26),0.8895 (15),0.8867 (19),0.8945 (18),
672898,bluesky,0.8846 (27),0.8723 (28),0.8972 (16),0.8895 (22),
674243,msilfver,0.8841 (28),0.8606 (32),0.9089 (11),0.8875 (24),
674330,ankit90,0.8823 (29),0.8832 (20),0.8814 (21),0.8890 (23),
673910,verma22gaurav,0.8805 (30),0.8567 (35),0.9057 (12),0.8840 (25),
674258,dylanmwhang,0.8757 (31),0.8818 (21),0.8697 (24),0.8835 (26),
674253,renatosjoao,0.8754 (32),0.8654 (30),0.8856 (20),0.8810 (28),
674248,orestxherija,0.8739 (33),0.8857 (17),0.8623 (25),0.8825 (27),
674326,vasudev13,0.8715 (34),0.9130 (3),0.8337 (26),0.8840 (25),
674282,DSCIITISM,0.8715 (35),0.8343 (36),0.9121 (10),0.8730 (30),
674274,rxchmnsyh,0.8714 (36),0.8637 (31),0.8792 (22),0.8775 (29),
673229,NAGA_SIVA_SAI_REDDY,0.8527 (37),0.8115 (39),0.8983 (15),0.8535 (31),
673190,nowshed,0.8198 (38),0.8155 (38),0.8242 (27),0.8290 (32),
672548,saichethanreddy,0.7979 (39),0.7991 (42),0.7966 (29),0.8095 (33),
674276,Rajeshkm,0.7854 (40),0.8335 (37),0.7426 (33),0.8085 (34),
674280,ngockhain,0.7772 (41),0.7540 (50),0.8019 (28),0.7830 (37),
673774,utpalsikdar,0.7765 (42),0.7692 (48),0.7839 (30),0.7870 (36),
674314,drtghosh,0.7648 (43),0.7515 (52),0.7786 (31),0.7740 (41),
674264,iswara01,0.7631 (44),0.8073 (41),0.7235 (36),0.7880 (35),
672547,khangnpq,0.7614 (45),0.7709 (47),0.7521 (32),0.7775 (39),
674311,kaitezhu,0.7580 (46),0.7788 (44),0.7383 (34),0.7775 (39),
674134,IITBHU,0.7508 (47),0.7904 (43),0.7150 (37),0.7760 (40),
672553,thanhvu,0.7503 (48),0.7730 (45),0.7288 (35),0.7710 (42),
673506,premjith_cen,0.7496 (49),0.8078 (40),0.6992 (38),0.7795 (38),
674327,parsafar,0.7417 (50),0.6507 (53),0.8623 (25),0.7165 (46),
674206,shrebox,0.7269 (51),0.7723 (46),0.6864 (40),0.7565 (43),
673388,IITKGPPHD,0.7132 (52),0.7535 (51),0.6769 (41),0.7430 (44),
674256,AnandKumaR,0.6826 (53),0.7581 (49),0.6208 (42),0.7275 (45),
672779,HUy,0.5800 (54),0.5015 (54),0.6875 (39),0.5300 (47),
673888,Keigo,0.5789 (55),0.5000 (55),0.6875 (39),0.5280 (48),
