submission_pk,User,Pearson r,MAE,RMSE
651733,NiuTrans,0.6982 (1),0.4447 (3),0.5428 (3),
652487,tharindu,0.6849 (2),0.4358 (2),0.5341 (1),
650278,ssun32,0.6818 (3),0.4292 (1),0.5394 (2),
651645,TMUOU,0.6679 (4),0.4586 (4),0.5721 (4),
652573,Joao1996,0.6385 (5),0.5057 (8),0.6421 (9),
642539,xc2019,0.6260 (6),0.8789 (13),1.0214 (13),
678730,jxnu_hxm,0.6215 (7),0.4846 (5),0.6081 (6),
652681,mhkane_225,0.5771 (8),0.4921 (7),0.6139 (7),
652480,ddk,0.5647 (9),0.5147 (9),0.6336 (8),
652214,LisaIan,0.5599 (10),0.4896 (6),0.6019 (5),
651993,mfomicheva,0.5133 (11),0.6726 (10),0.8186 (10),
651981,leizhou,0.3877 (12),0.6944 (11),0.8477 (11),
600508,fblain,0.3737 (13),0.7517 (12),0.8978 (12),
728164,bicici,0.3720 (14),1.1118 (14),1.2967 (14),
