submission_pk,User,EXTRAP.,INTERP.,OBJECT,SHAPE
505838,zhangboshen,33.66 (1),17.45 (1),27.76 (1),23.39 (1),
506114,xftts,36.43 (2),18.30 (2),29.86 (2),24.51 (2),
536443,taidongyu,38.12 (3),19.35 (3),29.88 (3),26.16 (3),
962867,hpoes,38.94 (4),21.26 (6),35.25 (6),27.19 (5),
544351,djdllmj,40.62 (5),20.70 (5),32.14 (5),27.53 (6),
536437,longxiaomi,41.30 (6),19.98 (4),32.01 (4),27.02 (4),
542965,weiguochow,45.99 (7),24.39 (9),38.94 (9),32.16 (8),
505966,LSL,47.18 (8),24.95 (10),38.76 (8),32.36 (9),
780087,dcfc,47.51 (9),22.09 (7),36.62 (7),31.05 (7),
489794,pfren,66.40 (10),23.99 (8),50.42 (10),35.39 (10),
500089,Tutelarix,77.39 (11),50.47 (11),67.41 (11),57.08 (11),
502725,sirius.xie,80.61 (12),52.27 (13),70.89 (12),65.50 (13),
501861,zzzh,80.61 (12),52.27 (13),70.89 (12),65.50 (13),
533389,HPE,90.04 (13),51.97 (12),72.67 (13),64.98 (12),
497598,Enric,147.77 (14),135.16 (14),139.99 (14),144.83 (14),
