submission_pk,User,MinDCF,EER
602143,matejkap,0.0409 (1),1.48 (1),
602156,zxchen123,0.0456 (2),1.52 (2),
602142,david02,0.0470 (3),1.69 (4),
602149,jvillalba,0.0658 (4),1.60 (3),
631764,xmuspeech506,0.0714 (5),1.96 (5),
603953,sahid,0.0717 (6),2.14 (8),
602160,alumae,0.0758 (7),2.13 (6),
607095,SunghwanMun,0.0785 (8),2.23 (9),
676603,simonchik_k,0.0827 (9),2.80 (11),
661987,YinSpirit,0.0835 (10),2.14 (7),
602981,vivolab,0.0882 (11),2.60 (10),
602154,rasim.ulgen,0.1024 (12),2.96 (13),
602173,shanin.ivan,0.1203 (13),2.94 (12),
602159,zeinali,0.1464 (14),3.49 (14),
602172,Pochin,0.1515 (15),4.21 (17),
618604,Richardfan,0.1585 (16),3.85 (15),
618630,vijaysumaravi,0.1770 (17),4.04 (16),
602137,localhost,0.1870 (18),4.97 (18),
602148,pes_tc,0.2557 (19),6.40 (24),
605537,amberafshan,0.2589 (20),6.03 (22),
605549,huanhua,0.2697 (21),6.28 (23),
602161,chienlinhuang,0.2710 (22),5.77 (21),
602153,via1918,0.2804 (23),7.10 (26),
602166,sniff,0.2874 (24),7.37 (27),
602167,duguqiankun,0.2914 (25),7.54 (28),
602150,maulikmadhavi,0.3157 (26),7.09 (25),
602169,Sreekanth,0.3186 (27),5.69 (19),
602145,ee17resch01003,0.3225 (28),5.71 (20),
602146,ddwe,0.3255 (29),8.77 (30),
602165,meweve1701,0.3396 (30),8.56 (29),
602164,kejom62676,0.3488 (31),8.79 (31),
602136,saxaha4776,0.4058 (32),10.28 (37),
602151,hogot23284,0.4508 (33),10.96 (38),
602170,AAlvarez,0.4830 (34),13.49 (40),
602457,dintas,0.5056 (35),8.98 (32),
602314,sdsvc,0.5287 (36),9.05 (33),
629295,prash29,0.5348 (37),9.24 (34),
602168,leizhenchun,0.5364 (38),9.63 (35),
602147,NGteam,0.5482 (39),9.67 (36),
602138,zhangruiteng,0.7613 (40),12.76 (39),
602144,joanna,0.7787 (41),16.19 (42),
629659,divyeshrajpura,0.7964 (42),14.55 (41),
602163,HS,1.0000 (43),43.52 (43),
602152,day9011,1.0000 (43),50.04 (44),
