submission_pk,User,SAUC,IG,NSS,CC,AUC,SIM,KL
487418,rdroste,0.767 (1),-0.129 (64),1.073 (66),0.559 (52),0.810 (25),0.505 (53),0.776 (63),
992949,zhongxu.hu,0.750 (2),0.788 (26),1.950 (25),0.894 (14),0.869 (1),0.752 (35),0.262 (17),
983514,Huizhan_Duan,0.748 (3),0.911 (2),2.036 (6),0.907 (5),0.869 (1),0.793 (9),0.201 (6),
1048267,shuo3,0.747 (4),0.806 (22),1.968 (18),0.880 (23),0.867 (3),0.749 (37),0.265 (19),
1040040,beiming,0.747 (4),0.788 (26),2.014 (7),0.907 (5),0.868 (2),0.803 (1),0.373 (37),
606654,RecSal,0.747 (4),0.827 (16),2.043 (5),0.850 (38),0.864 (6),0.734 (39),0.291 (24),
508526,xubinwei,0.747 (4),0.727 (35),2.070 (1),0.895 (13),0.867 (3),0.796 (7),0.469 (44),
1146795,jungle13,0.746 (5),0.903 (4),1.986 (10),0.911 (2),0.869 (1),0.799 (4),0.193 (3),
1143903,RINet,0.746 (5),0.913 (1),1.982 (12),0.911 (2),0.869 (1),0.803 (1),0.189 (1),
1143915,lllaaa,0.746 (5),0.902 (5),1.981 (13),0.909 (4),0.869 (1),0.798 (5),0.195 (4),
1129426,saliencyM,0.746 (5),0.902 (5),1.986 (10),0.911 (2),0.869 (1),0.799 (4),0.195 (4),
499719,MD-SEM,0.746 (5),0.660 (41),2.058 (2),0.868 (31),0.864 (6),0.774 (23),0.568 (55),
482435,lihan,0.746 (5),0.554 (50),1.907 (43),0.833 (42),0.851 (15),0.731 (40),0.564 (54),
452494,senjia,0.746 (5),0.736 (34),2.050 (3),0.886 (22),0.866 (4),0.780 (19),0.520 (48),
1075750,LudoHoffstetter4,0.745 (6),0.896 (6),1.967 (19),0.911 (2),0.869 (1),0.800 (3),0.195 (4),
710005,ZQW1997,0.745 (6),0.909 (3),1.984 (11),0.910 (3),0.869 (1),0.801 (2),0.190 (2),
434982,fredqi,0.745 (6),0.357 (57),2.045 (4),0.862 (34),0.862 (8),0.753 (34),1.026 (65),
466533,Jack0521,0.745 (6),0.646 (42),1.928 (36),0.874 (27),0.862 (8),0.771 (26),0.489 (46),
464146,jackdong,0.745 (6),0.611 (47),1.923 (38),0.872 (29),0.861 (9),0.769 (27),0.539 (52),
1134678,Hertononly,0.744 (7),0.779 (27),1.992 (8),0.901 (9),0.867 (3),0.797 (6),0.365 (36),
1133180,model13,0.744 (7),0.882 (9),1.957 (22),0.913 (1),0.869 (1),0.800 (3),0.189 (1),
538320,ACSalNet,0.744 (7),0.890 (7),1.981 (13),0.905 (6),0.868 (2),0.798 (5),0.232 (11),
998617,MGTVZSQi,0.743 (8),0.887 (8),1.971 (16),0.905 (6),0.868 (2),0.792 (10),0.204 (7),
775714,kongliscode,0.743 (8),0.570 (49),1.809 (54),0.795 (44),0.845 (17),0.672 (47),0.409 (42),
597676,lc6c,0.743 (8),0.570 (49),1.809 (54),0.795 (44),0.845 (17),0.672 (47),0.409 (42),
531727,SimpleNet,0.743 (8),0.880 (10),1.960 (20),0.907 (5),0.869 (1),0.793 (9),0.201 (6),
521969,kksijj,0.743 (8),0.841 (13),1.973 (15),0.903 (7),0.867 (3),0.797 (6),0.286 (22),
952444,pzzzqq,0.742 (9),0.880 (10),1.970 (17),0.902 (8),0.866 (4),0.789 (13),0.216 (8),
647757,lipengqian,0.742 (9),0.771 (28),1.943 (28),0.889 (19),0.865 (5),0.772 (25),0.319 (30),
619864,RecSal-CC,0.742 (9),0.854 (12),1.968 (18),0.900 (10),0.866 (4),0.789 (13),0.237 (13),
755639,LudoHoffstetter3,0.741 (10),0.890 (7),1.973 (15),0.909 (4),0.869 (1),0.796 (7),0.199 (5),
698410,waterLily,0.741 (10),0.769 (30),1.934 (32),0.891 (17),0.864 (6),0.781 (18),0.334 (32),
409646,marcella.cornia,0.741 (10),0.538 (52),1.990 (9),0.899 (11),0.865 (5),0.793 (9),0.610 (56),
