submission_pk,User,<Rank>,Set 1,Set 2,Set 3,Set 4,Set 5,Duration
194411,aad_freiburg,1.2000 (11),0.6396 (1),0.5233 (1),0.2828 (1),0.7824 (1),0.3820 (2),5.02 (11),
194231,postech.mlg_exbrain,7.0000 (5),0.6084 (2),0.2386 (11),0.2535 (3),0.4118 (8),0.1970 (11),3553.69 (6),
194071,aad_freiburg_verif,3.4000 (10),0.6074 (3),0.4498 (6),0.2649 (2),0.7578 (3),0.3784 (3),6.05 (10),
194161,djajetic,6.2000 (7),0.5805 (4),0.4995 (4),0.1531 (9),0.3887 (9),0.2907 (5),5843.04 (1),
397790,lise_sun,6.6000 (6),0.5805 (4),0.4980 (5),0.1765 (7),0.3887 (9),0.2516 (8),5842.90 (2),
968892,hungnm,7.2000 (4),0.5750 (5),0.4410 (7),0.1679 (8),0.5112 (7),0.2438 (9),4621.15 (4),
194791,verif_of_lin_sun,7.0000 (5),0.5731 (6),0.4111 (8),0.1976 (6),0.5908 (5),0.2412 (10),5569.11 (3),
194601,verification_of_james_loyd,10.4000 (1),0.5725 (7),-1.0000 (12),0.0635 (11),-1.0000 (10),0.0222 (12),3222.39 (8),
194061,abhishek4_verif,3.8000 (9),0.5607 (8),0.5082 (3),0.2447 (5),0.7633 (2),0.3840 (1),1.01 (13),
194831,verif,3.8000 (9),0.5607 (8),0.5082 (3),0.2447 (5),0.7633 (2),0.3840 (1),2.02 (12),
194081,djajetic_verif,4.6000 (8),0.5540 (9),0.5152 (2),0.2477 (4),0.7498 (4),0.3648 (4),132.68 (9),
924100,automl.chalearn,8.2000 (3),0.4080 (10),0.3410 (9),0.0764 (10),0.5375 (6),0.2621 (6),4460.08 (5),
217201,AutoMl_imad,10.2000 (2),0.2254 (11),0.2914 (10),0.0619 (12),-3.2663 (11),0.2606 (7),3407.39 (7),
