submission_pk,User,DCF,EER
966208,snowstar,0.1034 (1),1.8460 (1),
966131,yugi,0.1175 (2),2.8400 (5),
965459,JTBD,0.1313 (3),2.0490 (2),
965059,xiaolinlin,0.1489 (4),2.9350 (9),
963893,Maccio,0.1496 (5),3.0000 (10),
963005,unces,0.1528 (6),2.6710 (3),
964082,ss1010,0.1670 (7),2.8750 (6),
964182,fxi,0.1674 (8),2.8860 (7),
966128,sgspk,0.1683 (9),2.8960 (8),
964260,deg,0.1696 (10),2.8330 (4),
965262,SVD,0.1713 (11),3.0780 (11),
964601,xx205,0.1739 (12),3.1290 (12),
959149,Rissa,0.1790 (13),3.8340 (23),
964275,gazizullina2010,0.1793 (14),3.1530 (13),
965645,emmmm,0.1796 (15),3.4760 (14),
958520,nideshaonian,0.1898 (16),4.0020 (26),
959268,gmh2020,0.2010 (17),3.7240 (20),
965524,chl2,0.2025 (18),3.6430 (16),
961581,hellosid,0.2031 (19),3.5090 (15),
962225,Badlands,0.2057 (20),3.7120 (19),
958538,ab3007,0.2095 (21),3.6900 (17),
963872,zhaohuan,0.2133 (22),3.7080 (18),
966110,maluanwan2021,0.2165 (23),3.7780 (21),
966005,curisan,0.2176 (24),3.8100 (22),
965938,caiqt,0.2208 (25),3.8450 (24),
958564,BOSS,0.2218 (26),4.2210 (30),
959844,shengyu,0.2223 (27),3.9940 (25),
962143,Ares-UIBE,0.2243 (28),4.0910 (28),
965581,HMM,0.2380 (29),4.0850 (27),
962233,musician,0.2415 (30),4.4570 (32),
960983,furu,0.2458 (31),4.8630 (35),
952432,katon,0.2462 (32),4.4540 (31),
953320,everyran,0.2550 (33),4.1940 (29),
957100,yong.chun,0.2620 (34),5.0040 (38),
965702,SunghwanMun,0.2767 (35),4.5950 (33),
952159,zhanggx,0.2779 (36),4.8550 (34),
952134,xgg006,0.2825 (37),4.9240 (36),
959841,rousju,0.2842 (38),5.6430 (45),
962372,quangbd,0.2844 (39),5.2350 (43),
965919,qyhong,0.3026 (40),5.1270 (39),
959179,_2BeNo1_,0.3030 (41),4.9850 (37),
951407,hello_xgg,0.3033 (42),5.1350 (40),
965905,try_chuan,0.3041 (43),5.1400 (41),
961792,next,0.3119 (44),5.6040 (44),
958462,cdd,0.3189 (45),5.1690 (42),
963611,Jaesung2,0.3512 (46),5.8750 (46),
950933,vgg_oxford,0.3512 (46),5.8750 (46),
963653,xuesongyan,0.5122 (47),8.1720 (47),
960600,RJ_Tao,0.9001 (48),20.1500 (48),
956312,deepkoti,0.9699 (49),34.7690 (49),
