submission_pk,User,MSE,SAD,Grad,Conn
903430,choiron,0.0024 (1),11.6019 (4),12.1567 (5),8.5524 (9),
907016,maple5724,0.0024 (2),10.9061 (1),11.7247 (3),7.7374 (3),
901786,noman,0.0025 (3),14.2596 (16),11.0522 (1),10.5241 (22),
904269,cians,0.0029 (4),13.7288 (15),12.2888 (7),9.7071 (16),
901508,kesun,0.0030 (5),16.2894 (24),12.4246 (9),11.8616 (33),
902891,hooks,0.0030 (6),11.4358 (2),12.9523 (16),7.9324 (5),
906554,jieson_zheng,0.0030 (7),11.8901 (6),11.4768 (2),8.5633 (10),
907062,LAT_AI,0.0030 (8),11.9932 (7),12.4794 (10),8.6866 (11),
897391,Wowww,0.0031 (9),12.0356 (9),14.2264 (28),7.7052 (2),
903130,DISL,0.0031 (10),11.5462 (3),14.7390 (31),7.7705 (4),
903978,jl_07,0.0032 (11),12.0349 (8),12.9284 (15),8.2760 (7),
899811,Finn_zhang,0.0033 (12),11.6181 (5),15.3641 (35),8.1134 (6),
902061,FlyTiger,0.0033 (13),12.1146 (10),12.7937 (13),8.3948 (8),
904140,noname_3,0.0035 (14),12.8335 (12),13.1909 (19),8.8580 (14),
897767,maxv,0.0035 (15),12.9296 (14),12.7777 (12),9.1605 (15),
900256,Caozx,0.0035 (16),14.3934 (18),12.8442 (14),9.9790 (19),
898112,cpwan,0.0035 (17),16.3464 (26),12.2280 (6),11.6206 (28),
901952,uncontrolbear,0.0036 (18),12.6015 (11),12.9536 (17),8.6871 (12),
904413,Wayne33,0.0037 (19),16.9657 (28),14.5051 (29),12.5572 (37),
895961,QingmingLiu,0.0037 (20),17.0762 (30),13.0091 (18),12.8874 (39),
907670,hk_hk,0.0038 (21),16.4529 (27),13.1955 (20),11.4458 (27),
907262,yangjituan,0.0038 (22),18.7016 (38),13.2197 (22),13.0235 (41),
907701,hk123,0.0038 (23),17.2085 (33),13.1958 (21),12.1125 (36),
905515,naver_naver,0.0039 (24),14.8319 (20),13.4510 (25),11.2674 (26),
905509,naver,0.0039 (24),14.8319 (20),13.4510 (25),11.2674 (26),
896105,seaview_tcl,0.0041 (25),16.9924 (29),13.3907 (23),12.0893 (34),
904717,luojian,0.0041 (26),17.1765 (32),13.4446 (24),11.7952 (31),
899152,tintinitn,0.0041 (27),12.8627 (13),20.4811 (44),8.7726 (13),
906833,mobiuslqm,0.0041 (28),17.8257 (34),13.7012 (27),13.3572 (43),
905978,cving,0.0043 (29),19.7572 (41),12.3345 (8),13.9883 (45),
901452,chenhao1996,0.0043 (30),14.3643 (17),13.6427 (26),9.7440 (17),
907654,Hongkong123,0.0045 (31),18.0807 (35),12.1228 (4),13.4707 (44),
898125,Joker_Lu,0.0046 (32),14.5383 (19),22.5614 (45),10.0142 (20),
904111,Fpp,0.0047 (33),17.1396 (31),17.0032 (38),11.7453 (30),
895954,YYYiii,0.0048 (34),15.4203 (22),14.6904 (30),9.8299 (18),
898124,windaway,0.0048 (35),15.0585 (21),15.0093 (32),10.5788 (23),
901524,Mr_Water,0.0051 (36),16.3309 (25),15.3264 (34),10.9484 (25),
896129,WuliLaoWang,0.0055 (37),15.5106 (23),24.4589 (46),10.2927 (21),
905334,maxgray98,0.0055 (38),18.1248 (36),12.7584 (11),13.0006 (40),
898121,MotJuMi,0.0063 (39),20.4076 (44),15.1535 (33),14.4915 (47),
899535,najmul,0.0065 (40),18.5645 (37),20.0663 (43),12.7116 (38),
895921,baky1983,0.0069 (41),19.2167 (40),43.4586 (52),11.6660 (29),
895962,zgj123,0.0069 (42),19.1914 (39),41.4428 (51),11.8332 (32),
898117,dontknowwhattoname,0.0074 (43),20.0005 (43),40.4788 (50),12.1087 (35),
898118,maxianzhong,0.0078 (44),23.4861 (46),17.9998 (41),15.5722 (49),
900139,hcy1234,0.0078 (45),19.9015 (42),30.7535 (48),10.6572 (24),
906023,mfang,0.0087 (46),22.4928 (45),17.3350 (39),14.2504 (46),
895966,cxgincsu,0.0095 (47),26.2246 (48),15.5871 (36),18.9345 (50),
920474,nowsyn,0.0095 (48),25.9298 (47),15.8421 (37),13.2778 (42),
898111,whyisrunningsoslow,0.0125 (49),32.0745 (50),39.3359 (49),15.1469 (48),
907258,maooo,0.0132 (50),33.5783 (51),17.6570 (40),21.6759 (52),
898120,xiaozhazha,0.0133 (51),29.8236 (49),61.5178 (53),20.1215 (51),
898392,hzcxq,0.0297 (52),59.0917 (52),18.3098 (42),23.7875 (53),
895965,podismine,0.0352 (53),69.2464 (53),78.7270 (54),39.6469 (54),
895967,liangyao,0.3500 (54),600.8779 (54),27.8644 (47),0.0000 (1),
869792,pengzhang0x,6318764.6078 (55),9428913.2036 (55),6935686.8460 (55),5176614.5877 (55),
