submission_pk,User,EER
1121366,vpcainiao,0.0087 (1),
977994,volokhov,0.0092 (2),
765282,xx205,0.0095 (3),
765270,Es,0.0103 (4),
688080,navdeep,0.0129 (5),
706901,matejkap,0.0131 (6),
685356,RibotOT,0.0144 (7),
496390,dgromero,0.0146 (8),
524780,danweicai,0.0146 (9),
773774,itmo789,0.0146 (10),
785846,gazizullina2010,0.0151 (11),
781347,alisavin,0.0152 (12),
774435,Anastasia_Dvoynikova,0.0161 (13),
774407,Elena_Ryumina,0.0161 (13),
514636,DKU-TVM,0.0163 (14),
487130,TZ,0.0163 (15),
496671,chienlinhuang,0.0166 (16),
543073,loveta,0.0177 (17),
618415,Jenthe,0.0181 (18),
543047,zhangruiteng,0.0182 (19),
492935,mmclaren,0.0189 (20),
492982,liumeng,0.0192 (21),
493085,LiyongGuo,0.0195 (22),
505881,cb1219,0.0203 (23),
482105,nsysu-test,0.0207 (24),
543028,Patric,0.0211 (25),
493084,minsookim,0.0211 (26),
493099,sixsixsix,0.0215 (27),
580266,Akai,0.0227 (28),
596633,daoge,0.0230 (29),
580241,beaumelon,0.0235 (30),
492762,Shelly_Zhou,0.0240 (31),
493053,jac,0.0244 (32),
587308,ibaguo,0.0251 (33),
505892,cb1210,0.0256 (34),
490207,mogambo,0.0258 (35),
481903,SYSU_Test,0.0259 (36),
493276,Livefull,0.0260 (37),
486842,dbird,0.0266 (38),
512877,a.yamshinin,0.0277 (39),
486861,SHYU_test,0.0279 (40),
493107,Sangwon,0.0287 (41),
489219,janyoti,0.0320 (42),
605188,Foofybuster,0.0352 (43),
605716,klabs_voice,0.0357 (44),
489323,zs_test,0.0382 (45),
509517,voxceleb,0.0388 (46),
492608,mlinxiang,0.0394 (47),
483942,jean_e,0.0429 (48),
485625,swpark,0.0441 (49),
576397,kunakorn.p,0.0515 (50),
823105,lenaami,0.0617 (51),
487492,k.anup,0.0660 (52),
487410,testSP,0.0682 (53),
491409,BritPop,0.0730 (54),
481682,vgg,0.1140 (55),
501951,sh,0.1187 (56),
502477,umair.khan,0.1191 (57),
502482,barceloning,0.1271 (58),
501941,bcn,0.1433 (59),
484691,ur0,0.1457 (60),
591857,charlie_mk,0.2442 (61),
502512,kaur,0.2455 (62),
591415,makun123,0.2528 (63),
501998,gmail,0.3194 (64),
483017,Jonty800,0.4091 (65),
483031,kwh1990,0.4882 (66),
537428,flycat,0.4985 (67),
