submission_pk,User,score,EN,ET,HR,FI,SL
723112,dloureiro,0.766 (1),0.766 (1),0.0 (1),0.565 (2),0.354 (2),0.483 (3),
598364,Alexa,0.746 (2),0.746 (2),0.0 (1),0.402 (4),0.289 (3),0.516 (1),
603604,somaia,0.723 (3),0.723 (3),0.0 (1),0.000 (5),0.000 (4),0.000 (4),
603495,lucasrafaelc,0.633 (4),0.633 (4),0.0 (1),0.654 (1),0.000 (4),0.000 (4),
641926,bicici,0.629 (5),0.629 (5),0.0 (1),0.402 (4),0.000 (4),0.516 (1),
1065006,inesgabanes,0.497 (6),0.497 (6),0.0 (1),0.522 (3),0.355 (1),0.489 (2),
780039,NourKhdour1,0.416 (7),0.416 (7),0.0 (1),0.402 (4),0.289 (3),0.516 (1),
