submission_pk,User,Top1 accuracy
647439,sunpengfei,0.73 (1),
648328,DeepBlueAI,0.70 (2),
644888,Tennant,0.69 (3),
647739,ByeongjoKim,0.67 (4),
648320,Ben1365,0.66 (5),
626369,young.xu,0.39 (6),
604248,fayzur20,0.34 (7),
576191,oskayhan,0.31 (8),
