submission_pk,User,kds,kda,cas,caa,as,aa
530026,zhonghaoxi,29.19 (1),20.54 (1),28.69 (1),22.52 (1),28.86 (1),21.78 (1),
1049383,caoyang98,31.46 (2),22.71 (2),31.05 (2),24.76 (2),31.19 (2),23.99 (2),
1056746,Giraffe,35.78 (3),28.25 (3),37.38 (3),31.06 (3),36.83 (3),30.01 (3),
1139930,weiziyao,43.46 (4),33.33 (4),45.22 (4),36.21 (4),44.61 (4),35.13 (4),
