submission_pk,User,S1 DOC F1,S1 COREF AVG,S1 % ANS,S2 ACC,S2 RMSE,S2 DOC F1,S2 COREF AVG,S2 % ANS,S3 ACC,S3 RMSE,S3 DOC F1,S3 COREF AVG,S3 % ANS
437881,paramitamirza,81.24 (1),37.46 (2),57.08 (2),19.63 (1),5.01 (2),57.10 (1),37.46 (2),80.38 (2),25.83 (1),4.60 (2),68.81 (1),37.46 (2),72.14 (2),
431350,baseline1,60.22 (2),7.92 (3),15.80 (3),9.38 (4),4.96 (1),18.26 (4),7.92 (3),100.00 (1),0.00 (4),0.00 (1),0.00 (4),0.00 (3),0.00 (3),
437689,CarlaAbreu,25.46 (3),0.00 (4),100.00 (1),12.79 (3),5.53 (3),23.91 (3),0.00 (4),100.00 (1),10.94 (2),37.83 (4),21.52 (3),0.00 (3),100.00 (1),
436922,Piek,24.55 (4),38.96 (1),100.00 (1),14.93 (2),51.42 (4),27.99 (2),38.96 (1),100.00 (1),8.21 (3),10.12 (3),27.23 (2),38.96 (1),100.00 (1),
