submission_pk,User,mAP Strict,mAP Relaxed
920672,fengdoudou,- (-),,
918656,sohanpatnaik106,- (-),,
918461,Team-3J,- (-),,
921990,emanuele.c,- (-),,
918375,peratham.bkk,- (-),,
922408,niksss,- (-),,
918473,viethoang171000,- (-),,
919979,danielwaechtleruni,- (-),,
921293,Fibelkorn,- (-),,
917774,mspl,- (-),,
919037,m0re4u,- (-),,
921552,np-quadrat,- (-),,
921672,yamenajjour,- (-),,
919507,heinrichreimer,- (-),,
921725,vund,- (-),,
