submission_pk,User,pckAUC,pckh@0.2,pckh@0.5,pckAUC_hosp,pckAUC_home
975406,ach07,57.587 (1),52.575 (1),83.210 (1),60.365 (1),56.198 (1),
975412,RuiZhao,52.677 (2),45.450 (2),80.829 (2),50.201 (3),53.915 (2),
975391,NFP_Undercover,50.065 (3),42.187 (3),77.460 (3),50.270 (2),49.963 (3),
