submission_pk,User,AP50_tiny,AP50_tiny1,AP50_tiny2,AP50_tiny3,AP25_tiny,AP75_tiny,mr50_tiny
659902,baidu_ppdet,72.33 (1),58.87 (8),76.06 (1),80.23 (1),87.28 (1),14.87 (1),74.23 (1),
659903,pilafsama,71.53 (2),59.21 (5),75.22 (2),79.68 (2),85.27 (2),14.84 (2),74.69 (3),
659901,BingBing,71.36 (3),59.91 (2),74.70 (4),78.63 (3),84.74 (6),14.38 (7),74.51 (2),
659877,pplm,71.35 (4),59.89 (4),74.69 (5),78.62 (4),84.75 (5),14.38 (7),74.51 (2),
659827,tod666,71.34 (5),59.97 (1),74.70 (4),78.57 (6),84.61 (7),14.43 (6),74.75 (5),
659808,mix,71.32 (6),59.90 (3),74.68 (6),78.60 (5),84.61 (7),14.33 (8),74.90 (6),
659702,potting,70.91 (7),58.87 (8),74.73 (3),78.18 (7),84.93 (3),14.81 (3),74.72 (4),
659428,matter,70.10 (8),58.88 (7),73.06 (8),77.49 (8),84.13 (9),14.57 (5),75.12 (7),
659818,tiantian12414,69.71 (9),57.88 (10),73.67 (7),77.26 (9),84.25 (8),14.70 (4),75.96 (10),
659703,Mingbo_Hong,69.34 (10),59.10 (6),71.73 (11),76.11 (13),84.76 (4),12.74 (12),75.30 (8),
659201,dilidili,69.32 (11),58.28 (9),72.71 (10),76.55 (11),83.38 (11),13.59 (10),76.08 (11),
659401,LHX,69.20 (12),57.14 (11),72.80 (9),77.25 (10),84.09 (10),11.34 (16),79.25 (18),
657717,Washpan,68.73 (13),57.12 (12),71.52 (12),76.21 (12),82.93 (12),13.90 (9),75.76 (9),
659176,liw,67.87 (14),56.63 (13),70.82 (13),75.33 (14),82.76 (13),13.45 (11),76.98 (12),
658510,ZhangYuqi,65.31 (15),49.34 (20),69.57 (15),75.13 (15),80.86 (17),11.52 (15),77.31 (13),
658498,xieyy,65.27 (16),49.59 (18),69.65 (14),74.56 (16),81.23 (16),11.75 (14),77.76 (14),
659247,times,64.92 (17),49.49 (19),69.37 (16),73.98 (17),81.58 (15),12.51 (13),78.07 (15),
640993,Michealz,63.34 (18),53.55 (14),65.58 (21),69.66 (22),81.77 (14),11.34 (16),78.40 (16),
658675,yujia,62.94 (19),50.66 (16),67.33 (19),69.76 (21),78.61 (21),10.48 (20),80.26 (19),
659433,LLP,62.88 (20),50.97 (15),66.64 (20),69.78 (19),79.58 (19),11.05 (17),80.32 (20),
657742,ctt,62.83 (21),46.53 (21),68.54 (17),71.76 (18),79.62 (18),10.50 (19),78.94 (17),
659281,Lee_Pisces,62.58 (22),50.55 (17),67.59 (18),69.77 (20),78.93 (20),10.62 (18),80.86 (21),
635209,xuesong,58.79 (23),44.81 (22),61.46 (22),68.81 (23),76.73 (22),9.12 (21),83.77 (22),
659621,alexto,57.52 (24),43.04 (23),60.05 (23),66.64 (24),75.61 (23),8.84 (22),84.08 (23),
653545,stevehsu,54.34 (25),35.74 (27),59.04 (24),65.94 (25),74.91 (24),6.98 (25),84.71 (24),
638242,fisty,52.88 (26),42.54 (24),55.83 (25),61.49 (29),71.51 (26),7.91 (23),87.30 (28),
639258,Evali,51.38 (27),37.06 (26),55.09 (27),62.51 (27),72.87 (25),6.23 (27),88.02 (30),
638674,mmeendez,51.07 (28),31.98 (28),55.20 (26),63.11 (26),70.24 (28),7.50 (24),86.98 (26),
636540,bobson,50.72 (29),38.82 (25),53.73 (28),58.84 (30),70.52 (27),6.11 (28),87.21 (27),
642617,daavoo,49.45 (30),30.36 (29),52.78 (29),61.52 (28),68.08 (30),6.69 (26),86.71 (25),
652406,divyanshahuja,46.84 (31),29.77 (31),51.96 (30),57.74 (31),68.46 (29),5.88 (29),87.38 (29),
655680,xie233,44.67 (32),30.01 (30),45.07 (31),54.78 (32),64.38 (31),4.67 (30),90.17 (31),
605241,yingling,39.57 (33),24.30 (32),43.98 (32),50.80 (34),61.91 (32),4.14 (31),92.46 (34),
618671,zhaoxingjie,33.83 (34),5.09 (34),34.17 (33),52.91 (33),57.49 (34),2.52 (33),91.39 (32),
616375,suntinger,32.98 (35),16.88 (33),32.11 (34),47.43 (35),60.30 (33),2.83 (32),92.19 (33),
622422,Sugar_bupt,13.61 (36),1.79 (35),13.04 (35),22.92 (36),36.40 (35),0.84 (34),96.16 (35),
