submission_pk,User,Anaphora Resolution (CoNLL),Anaphora Resolution (CoNLL),Anaphora Resolution (CoNLL),Anaphora Resolution (CoNLL),Anaphora Resolution (CoNLL),Bridging (Entity F1),Bridging (Entity F1),Bridging (Entity F1),Bridging (Entity F1),Bridging (Entity F1),Discourse Deixis (CoNLL),Discourse Deixis (CoNLL),Discourse Deixis (CoNLL),Discourse Deixis (CoNLL),Discourse Deixis (CoNLL)
,LIGHT,AMI,Persuasion,Swbd,ARRAU,LIGHT,AMI,Persuasion,Swbd,ARRAU,LIGHT,AMI,Persuasion,Swbd,ARRAU
928538,shengjie.li-UTD,- (-),- (-),0.00 (1),,,,,,,,,,,,,,,,
928134,natalia_s,- (-),- (-),0.00 (1),,,,,,,,,,,,,,,,
922446,natalia_s,- (-),- (-),0.00 (1),,,,,,,,,,,,,,,,
