submission_pk,User,Accuracy,F-score,MRR,MAP
460513,romang,0.1525 (1),0.7532 (1),0.2306 (1),0.1521 (1),
460024,saeednajafi,0.0915 (2),0.7316 (2),0.0915 (2),0.0915 (2),
460631,soumyadeep,0.0831 (3),0.7157 (3),0.0831 (3),0.0831 (3),
