submission_pk,User,correct
983746,nik-sm,69.23 (1),
974557,wduong,68.66 (2),
986253,michaln,66.78 (3),
984026,ms01,65.57 (4),
985118,Cogitat,65.55 (5),
983725,ant-brain,63.71 (6),
974494,dangkh109,63.34 (7),
985151,dice_runner,62.54 (8),
986328,KUylee,62.50 (9),
984083,peara,62.12 (10),
982937,neerajwagh,61.10 (11),
983644,g21boual,60.95 (12),
982949,wei33,60.52 (13),
985594,anton.v,58.65 (14),
986035,Div12345,54.11 (15),
986515,minmade,51.96 (16),
982828,X.X,49.71 (17),
985772,camillegontier,27.91 (18),
