submission_pk,User,< Rank >,Pearson r,RMSE,MAE,Disk Footprint (Bytes),Model Params
940442,joanne.wjy,3.00 (2),0.6749 (1),0.6272 (2),0.4859 (2),2244030744.0 (5),560981507.0 (5),
940778,HW-TSC,2.40 (1),0.6653 (2),0.6266 (1),0.4824 (1),2243941083.0 (4),560941057.0 (4),
940495,IST-Unbabel,5.00 (4),0.6649 (3),0.6422 (3),0.4953 (3),4872322439.0 (8),1214683792.0 (8),
933355,hantae.kim,5.20 (5),0.6577 (4),0.6453 (4),0.4956 (4),2503797760.0 (7),611278859.0 (7),
933359,gregor_geigle,6.20 (6),0.6312 (5),0.6877 (7),0.5263 (7),2382759964.0 (6),595689991.0 (6),
932981,Inmon,5.20 (5),0.6234 (6),0.6870 (6),0.5259 (6),2243941083.0 (4),560941057.0 (4),
937672,shaun.lim,4.20 (3),0.6132 (7),0.6865 (5),0.5241 (5),1249902592.0 (2),297974795.0 (2),
940538,fblain,5.20 (5),0.5411 (8),0.7294 (8),0.5624 (8),1142413043.0 (1),281291535.0 (1),
939588,shakedme,6.60 (7),0.3478 (9),1.0573 (9),0.8213 (9),1886937088.0 (3),471716864.0 (3),
