submission_pk,User,RMSE,RMSE@10,RMSE@20,RMSE@30,RMSE@40
565824,ghpaetzold,- (-),,,,,
557269,aniton,- (-),,,,,
569095,kdehumor,- (-),,,,,
570249,saradhix,- (-),,,,,
570250,Farah,- (-),,,,,
569355,heidy,- (-),,,,,
559381,sabino,- (-),,,,,
554647,nabilhossain,- (-),,,,,
570271,MLEngineer,- (-),,,,,
570272,docekal,- (-),,,,,
570148,xsysigma,- (-),,,,,
570279,lunayach,- (-),,,,,
569522,Kayal_Sampath,- (-),,,,,
570291,jtoma,- (-),,,,,
568759,ttzhang,- (-),,,,,
570299,Buhscitu,- (-),,,,,
568330,yinxx325,- (-),,,,,
569920,rtdesetty,- (-),,,,,
569922,Ferryman,- (-),,,,,
570307,anasteam,- (-),,,,,
570180,uir,- (-),,,,,
570318,unituebingenCL,- (-),,,,,
569806,Pramodith,- (-),,,,,
569558,alonzorz,- (-),,,,,
565207,HonoMi,- (-),,,,,
570204,zxchen,- (-),,,,,
570333,wonderful_tonight,- (-),,,,,
570335,jam,- (-),,,,,
569333,sid.mahurkar,- (-),,,,,
569078,HumorAAC,- (-),,,,,
570364,Taha,- (-),,,,,
570367,george.vlad,- (-),,,,,
submission_pk,User,Accuracy,Reward
565207,HonoMi,0.67428 (1),0.29878 (1),
569558,alonzorz,0.66058 (2),0.27656 (3),
570291,jtoma,0.65906 (3),0.27831 (2),
569806,Pramodith,0.64688 (4),0.26005 (4),
570148,xsysigma,0.64460 (5),0.25411 (5),
568759,ttzhang,0.64384 (6),0.25076 (6),
570249,saradhix,0.63927 (7),0.24376 (7),
570204,zxchen,0.63470 (8),0.23995 (9),
568330,yinxx325,0.63204 (9),0.24292 (8),
570307,anasteam,0.62938 (10),0.22907 (10),
570299,Buhscitu,0.62709 (11),0.21895 (11),
570271,MLEngineer,0.62291 (12),0.20464 (14),
569333,sid.mahurkar,0.62177 (13),0.20769 (13),
570318,unituebingenCL,0.61834 (14),0.21104 (12),
570279,lunayach,0.61339 (15),0.19543 (15),
570250,Farah,0.60883 (16),0.18409 (16),
559381,sabino,0.60502 (17),0.17785 (17),
569922,Ferryman,0.60274 (18),0.17709 (19),
570367,george.vlad,0.60008 (19),0.17725 (18),
569920,rtdesetty,0.59703 (20),0.16735 (20),
570272,docekal,0.57763 (21),0.14871 (21),
565824,ghpaetzold,0.56963 (22),0.11811 (22),
570335,jam,0.54262 (23),0.07473 (24),
569522,Kayal_Sampath,0.53767 (24),0.06218 (25),
570333,wonderful_tonight,0.53196 (25),0.11126 (23),
570180,uir,0.52131 (26),0.05670 (26),
569095,kdehumor,0.51903 (27),0.02717 (27),
570364,Taha,0.50381 (28),-0.00213 (28),
554647,nabilhossain,0.49049 (29),-0.01956 (29),
569355,heidy,0.41971 (30),-0.09954 (30),
557269,aniton,0.32915 (31),-0.20639 (31),
569078,HumorAAC,0.32040 (32),-0.21773 (32),
