submission_pk,User,DCF,EER
713375,JTBD,0.1737 (1),3.5800 (1),
712003,xx205,0.1942 (2),3.7980 (2),
713467,B15,0.2042 (3),3.8820 (3),
712870,DKU-DukeECE,0.2045 (4),4.0310 (5),
712203,xyz123xyz,0.2077 (5),4.0320 (6),
713413,makarov,0.2091 (6),4.1350 (7),
713397,ntorgashov,0.2098 (7),4.2160 (10),
710946,paranoid_android,0.2135 (8),4.0270 (4),
713389,iyakovlev,0.2194 (9),4.4740 (13),
713403,matejkap,0.2294 (10),4.7000 (14),
712911,gbarbadillo,0.2308 (11),4.4040 (12),
713439,AntonOkhotnikov,0.2495 (12),5.0680 (16),
712763,yong.chun,0.2537 (13),4.2090 (9),
712803,Ares-UIBE,0.2538 (14),4.1910 (8),
712743,navdeep,0.2541 (15),4.7800 (15),
710282,yanli.chen,0.2631 (16),4.3700 (11),
707318,zh794390558,0.3214 (17),5.2520 (17),
681154,ethanzhanghui,0.3217 (18),5.9860 (18),
677615,vggoxford,0.4771 (19),7.6890 (19),
710890,takoyaki,0.6313 (20),11.7500 (20),
681635,ChokJohn,0.9999 (21),17.1840 (21),
