submission_pk,User,F-score
839676,maelstorm,0.969 (1),
840675,naergvae,0.967 (2),
837969,g2tmn,0.965 (3),
840711,alexey.artsukevich,0.958 (4),
841691,Kouki,0.955 (5),
841734,vatolinalex,0.952 (6),
841680,smekur,0.946 (7),
834796,blanchefort,0.941 (8),
875160,phoenix120,0.939 (9),
841553,nikyudin,0.938 (10),
840998,landges,0.913 (11),
840991,kapant,0.907 (12),
841678,anonym,0.906 (13),
837898,imroggen,0.903 (14),
841102,bond005,0.902 (15),
901072,lllFaNToMlll,0.894 (16),
815228,Abiks,0.894 (17),
830950,mashkka_t,0.853 (18),
838744,dinabpr,0.844 (19),
