submission_pk,User,Accuracy,Macro averaged precision,Macro averaged recall,Macro averaged F1 score
875490,Timen,0.783175 (1),0.819878 (1),0.783175 (1),0.770175 (1),
880195,JAGD,0.708531 (2),0.699947 (3),0.708531 (2),0.699542 (2),
878706,hahalk,0.703791 (3),0.701750 (2),0.703791 (3),0.677825 (3),
831891,aridearriba,0.689573 (4),0.644003 (5),0.689573 (4),0.657427 (4),
833533,vitiugin,0.681280 (5),0.646972 (4),0.681280 (5),0.653130 (5),
831073,job80,0.643365 (6),0.638877 (6),0.643365 (6),0.627152 (6),
