submission_pk,User,MinDCF,EER
837831,AliciaLD,0.0368 (1),1.41 (2),
837799,NeteaseHZAILab,0.0406 (2),1.36 (1),
837412,hanbing97,0.0473 (3),1.44 (3),
837684,ieppt,0.0500 (4),1.57 (5),
837218,xiaolinlin,0.0515 (5),1.60 (6),
835454,YinSpirit,0.0546 (6),1.46 (4),
843642,GREAT,0.0653 (7),1.88 (7),
1120528,xmuliuyan,0.0734 (8),2.19 (9),
836366,IntelligentMediaComputing,0.0741 (9),2.19 (10),
837500,sahid,0.0792 (10),2.16 (8),
822783,ee17resch01003,0.0961 (11),2.80 (11),
840783,EureScribe,0.1240 (12),3.47 (12),
770786,sdsvc2,0.1468 (13),3.50 (13),
769200,sdsvc,0.5292 (14),9.04 (14),
