submission_pk,User,EER
761531,xx205,0.0069 (1),
673578,stones,0.0075 (2),
672772,happy,0.0084 (3),
536295,Rhinos,0.0086 (4),
678536,xyz201,0.0086 (5),
1145106,vpcainiao,0.0087 (6),
674743,DKU-DukeECE,0.0092 (7),
759176,SVD,0.0097 (8),
494935,logicworld,0.0098 (9),
740412,yufeng,0.0099 (10),
673203,DKU-TVM,0.0099 (10),
710691,TZ,0.0100 (11),
711694,mandalorian,0.0104 (12),
665209,ramosma,0.0105 (13),
661208,semi,0.0106 (14),
660788,carry,0.0111 (15),
709294,hayy,0.0112 (16),
672847,mean,0.0115 (17),
677572,t_ema,0.0118 (18),
660254,TFZ,0.0119 (19),
677503,skyriver,0.0122 (20),
759230,Es,0.0124 (21),
677501,moonsky,0.0124 (22),
677486,windcloud,0.0125 (23),
677476,flysnow,0.0125 (24),
668007,ffzhou,0.0126 (25),
818905,xmuspeech506,0.0126 (26),
677479,starwind,0.0130 (27),
677497,cloudmoon,0.0132 (28),
618418,Jenthe,0.0132 (29),
676243,zxd123456789,0.0134 (30),
1025424,xcl28,0.0137 (31),
496393,dgromero,0.0139 (32),
715696,hellosid,0.0141 (33),
677466,snowstar,0.0142 (34),
493082,zeinali,0.0142 (35),
699998,navdeep,0.0145 (36),
685354,RibotOT,0.0145 (37),
778004,curisan,0.0146 (38),
675530,zzjdewa,0.0151 (39),
537418,barius,0.0155 (40),
699470,dintas,0.0171 (41),
722060,llearner,0.0177 (42),
697295,NickZhang,0.0181 (43),
543013,zhangruiteng,0.0183 (44),
496658,chienlinhuang,0.0190 (45),
492984,liumeng,0.0192 (46),
495576,Li-Jianchen,0.0194 (47),
493105,sixsixsix,0.0199 (48),
493428,NSYSU,0.0213 (49),
707713,matejkap,0.0214 (50),
512895,a.yamshinin,0.0216 (51),
543038,Patric,0.0219 (52),
543015,loveta,0.0219 (52),
681429,ChokJohn,0.0228 (53),
493252,Livefull,0.0235 (54),
504599,Shelly_Zhou,0.0236 (55),
588692,daoge,0.0237 (56),
506714,tao_che,0.0241 (57),
506849,zxc123456798,0.0242 (58),
506847,zxc123456,0.0242 (58),
506842,qazxsw131,0.0244 (59),
506716,liuhswunwi,0.0244 (59),
492752,mogambo,0.0244 (59),
493049,jac,0.0244 (60),
682497,alumae,0.0250 (61),
506844,speaker,0.0252 (62),
506843,huihui,0.0252 (62),
953228,ur0,0.0255 (63),
492985,vvestman,0.0255 (64),
493052,zs_test,0.0263 (65),
493114,MingHsiangSu,0.0271 (66),
506314,cb1210,0.0273 (67),
488784,dbird,0.0286 (68),
492777,takoyaki,0.0290 (69),
485052,janyoti,0.0320 (70),
508172,shawn_thu,0.0324 (71),
492630,tbd,0.0332 (72),
486930,chenqi,0.0334 (73),
493104,Sangwon,0.0335 (74),
506316,cb1219,0.0342 (75),
483287,fivefivesixsix,0.0344 (76),
488659,TsinghuaMicro,0.0347 (77),
491339,kwh1990,0.0357 (78),
481930,sy_mark,0.0361 (79),
493059,PingAn2019,0.0367 (80),
558449,flycat,0.0373 (81),
502240,SRPOL,0.0375 (82),
520824,luno,0.0401 (83),
489468,swpark,0.0420 (84),
481937,nsysu-test,0.0449 (85),
576399,klabs_voice,0.0458 (86),
576398,kunakorn.p,0.0458 (86),
489305,bliunlpr,0.0472 (87),
591329,xgg,0.0500 (88),
490355,pranoothatwar,0.0544 (89),
492729,miquelindia90,0.0572 (90),
492977,Taejun,0.0655 (91),
483976,k.anup,0.0699 (92),
481901,lbjcom,0.0716 (93),
568621,zhanggx,0.0734 (94),
492877,arushi,0.0750 (95),
502386,KOH30297,0.0948 (96),
488581,BritPop,0.1077 (97),
481684,vgg,0.1140 (98),
485002,ranchlai,0.1188 (99),
485433,rkddngus,0.1201 (100),
488915,balkce,0.1311 (101),
