submission_pk,User,Mean Average Precision
907776,suhaisheng,0.2978 (1),
907661,ZiyuanHuang,0.2245 (2),
907588,i_am_handsome,0.2168 (3),
903472,pilhyeon,0.1872 (4),
901004,changtsan,0.1066 (5),
