submission_pk,User,Pearson r,MAE,RMSE
470540,carolscarton,0.5337 (1),56.2264 (2),85.2319 (3),
470536,jive,0.5210 (2),56.6032 (3),86.1105 (4),
470542,fblain,0.5122 (3),56.0871 (1),83.0973 (1),
480980,bicici,0.0277 (4),57.7282 (4),85.0958 (2),
