submission_pk,User,< Rank >,Pearson r,RMSE,MAE,Disk Footprint,Model Params
940581,IST-Unbabel,2.20 (2),0.5552 (1),0.3280 (2),0.2837 (2),2294887576.0 (3),569368609.0 (3),
940316,HW-TSC,1.60 (1),0.5343 (2),0.2979 (1),0.2319 (1),2243954093.0 (2),560944640.0 (2),
940566,fblain,2.20 (2),0.5030 (3),0.3329 (3),0.2895 (3),1142441796.0 (1),281297685.0 (1),
