submission_pk,User,Mean AP
979143,LoveLetter,0.97 (1),
979049,samchen,0.96 (2),
979078,qfl,0.94 (3),
978892,xs994975664,0.89 (4),
936146,FanqingXu,0.88 (5),
979048,jetzheng,0.85 (6),
972333,RallyTheValley,0.77 (7),
981770,jiangli,0.72 (8),
981752,Dawns,0.72 (9),
981775,pangpangkaka,0.70 (10),
921642,dzambrano,0.67 (11),
981794,kukudeni,0.62 (12),
978454,pyt,0.00 (13),
