submission_pk,User,Prediction score,Duration
930814,FourierTT,51.2723 (1),0.00 (1),
933160,jiahao12138,50.4400 (2),0.00 (1),
952052,suda_alibaba_team,49.5492 (3),0.00 (1),
935229,Guanyuhang,44.9130 (4),0.00 (1),
939363,zyang,39.6932 (5),0.00 (1),
926232,yulinlin,38.2429 (6),0.00 (6),
950954,yuanhong,38.1102 (7),0.00 (1),
948871,qifanchao866,37.4665 (8),0.00 (1),
935412,yongchang_cao,34.7348 (9),0.00 (1),
937408,cyc125065,33.9492 (10),0.00 (1),
950224,stardust,33.5484 (11),0.00 (1),
937945,YCC2021,33.5484 (11),0.00 (1),
950813,liuyz,32.9522 (12),0.00 (1),
949044,uloveqian,31.7546 (13),0.00 (1),
950728,Maysina,31.1772 (14),0.00 (1),
951250,zjjbupt,30.3365 (15),0.00 (1),
929406,xiechun_123,30.3182 (16),0.00 (3),
949264,sukangshi,30.0699 (17),0.00 (1),
949702,codalabbb,29.5814 (18),0.00 (1),
948770,mzt_zybank,28.8807 (19),0.00 (1),
929920,xuchengguo,28.3333 (20),0.00 (1),
948273,ZhangJZ,28.2733 (21),0.00 (1),
949730,zfgan,27.9452 (22),0.00 (1),
940753,qinhui99,27.7585 (23),0.00 (1),
950369,yuanyang,27.6963 (24),0.00 (1),
950844,OKC0,24.6973 (25),0.00 (1),
937647,ShanYouRan,24.2586 (26),0.00 (1),
934689,wufangzhou,21.9421 (27),0.00 (1),
937580,zhaogang,21.1609 (28),0.00 (1),
949831,Casserolefish,20.4729 (29),0.00 (1),
950763,chunhui0914,19.7849 (30),0.00 (1),
932196,yaho123,18.9305 (31),0.00 (1),
930372,hf123,18.5871 (32),0.00 (1),
949894,SW_taoyuan,18.0000 (33),0.00 (1),
931692,duibudui,17.9487 (34),0.00 (1),
936380,poor,17.7337 (35),0.00 (1),
927637,redbird,16.7720 (36),0.00 (2),
948806,qkwh,16.5766 (37),0.00 (1),
936392,pygong,15.6136 (38),0.00 (1),
948063,carlosli_i,14.9774 (39),0.00 (1),
951968,eshaoliu,14.7239 (40),0.00 (1),
941384,lczhang06,13.8764 (41),0.00 (1),
934887,YYJ-CTC,13.7405 (42),0.00 (1),
929908,darren_zeng,13.7405 (42),0.00 (1),
929563,CTC_2021,13.7405 (42),0.00 (1),
951333,yangxi,12.4805 (43),0.00 (1),
927680,aolong,12.0253 (44),0.00 (4),
922246,zhujp,5.0970 (45),0.00 (5),
940012,shifenglin,0.0000 (46),0.00 (1),
937163,virgo777,-1.0000 (47),0.00 (1),
