submission_pk,User,Overall quality
558695,qbic,0.91609 (1),
559520,AlexeySorokin,0.90762 (2),
559456,Shnurre,0.90411 (3),
559350,lima,0.87870 (4),
558109,vocative,0.85198 (5),
558392,Rybolos,0.80377 (6),
