submission_pk,User,Rank,Score 1,Score 5,Score 10
741023,SreyanGhosh,0.543 (1),0.375 (2),0.687 (1),0.566 (1),
862686,shallowLearner,0.540 (2),0.389 (1),0.672 (4),0.558 (3),
740500,zouwuhe,0.530 (3),0.346 (3),0.685 (3),0.557 (4),
739841,hugq,0.525 (4),0.335 (4),0.686 (2),0.554 (5),
739434,DeepBlueAI,0.519 (5),0.330 (5),0.667 (5),0.559 (2),
739391,task10test,0.475 (6),0.301 (6),0.634 (7),0.489 (7),
740263,zouwuhe,0.474 (7),0.285 (7),0.638 (6),0.500 (6),
