submission_pk,User,EXTRAP.,INTERP.,OBJECT,SHAPE
514398,potato,19.06 (1),4.23 (2),21.12 (3),14.52 (1),
515789,sbaek,23.63 (2),16.48 (6),20.59 (2),20.59 (4),
563237,Fractality,28.81 (3),6.61 (4),22.88 (4),20.76 (5),
505954,Nplwe,29.19 (4),4.06 (1),18.39 (1),15.79 (3),
504701,lin84,31.51 (5),19.15 (7),30.59 (5),23.47 (6),
505875,yhasson,38.42 (6),7.38 (5),31.82 (6),15.61 (2),
505080,LSL,41.81 (7),23.52 (8),72.70 (10),35.43 (8),
505879,SehoKim,49.64 (8),46.78 (9),53.79 (8),51.32 (10),
505956,myunggi,57.45 (9),47.82 (10),54.81 (9),50.05 (9),
502726,sirius.xie,80.06 (10),5.66 (3),45.34 (7),29.84 (7),
501855,zzzh,80.06 (10),5.66 (3),45.34 (7),29.84 (7),
