submission_pk,User,MSE
498884,Stephane,73.0455 (1),
499073,riikkahuu,106.6170 (2),
498835,NCWmArbm,118.1330 (3),
499713,leo.bouscarrat,150.2500 (4),
498804,PaulVilloutreix,229.0000 (5),
