submission_pk,User,score,operational cost,attention cost,Computation time
1015622,amarot,54.94 (1),52.37 (1),60.94 (1),1014.82 (3),
1012032,IndigoSix,32.27 (2),46.16 (2),-0.17 (2),665.37 (2),
1118864,radio,-124.27 (3),-91.81 (3),-200.00 (3),0.01 (1),
1116455,idleuncle,-130.00 (4),-100.00 (4),-200.00 (3),99999.00 (4),
