submission_pk,User,PSNR [dB],Latency per frame [ms],SSIM,Energy consumption per inference [J],GPU memory usage per inference [M],Model size [MB],Extra Data [1] / No Extra Data [0]
836716,Finn_zhang,28.2296 (1),-1.0000 (1),0.7894 (1),-1.0 (1),2000.0 (5),2.0 (3),0.0 (2),
838404,chenyuxiang,27.9664 (2),-1.0000 (1),0.7809 (2),-1.0 (1),-1.0 (1),0.0 (1),0.0 (2),
838621,zheng222,27.6812 (3),-1.0000 (1),0.7719 (3),-1.0 (1),-1.0 (1),1.0 (2),0.0 (2),
832994,baky1983,27.6074 (4),-1.0000 (1),0.7695 (4),-1.0 (1),120.0 (2),0.0 (1),0.0 (2),
838351,jieson_zheng,27.5713 (5),-1.0000 (1),0.7685 (5),-1.0 (1),-1.0 (1),0.0 (1),1.0 (3),
836923,JeremieG,27.5070 (6),-1.0000 (1),0.7657 (7),-1.0 (1),-1.0 (1),243.0 (5),-1.0 (1),
838746,yubinnzeng,27.3146 (7),390.0000 (2),0.7586 (8),-1.0 (1),250.0 (3),0.0 (1),0.0 (2),
775715,Heewon,26.2480 (8),-1.0000 (1),0.7677 (6),10.4 (2),1000.0 (4),3.0 (4),1.0 (3),
838920,dyc1996,26.0047 (9),-1.0000 (1),0.7008 (9),-1.0 (1),-1.0 (1),0.0 (1),0.0 (2),
