submission_pk,User,AVG,SEEN,UNSEEN
420427,NAIST_RV,24.98 (1),24.98 (1),0.00 (1),
420399,THU_EE_VCLab,29.19 (2),29.19 (2),0.00 (1),
420405,rvhand,31.26 (3),31.26 (3),0.00 (1),
420472,slivorezzz,32.44 (4),32.44 (4),0.00 (1),
482218,LSL,37.35 (5),37.35 (5),0.00 (1),
419048,Franziska,43.12 (6),43.12 (6),0.00 (1),
419167,SamuelYuan,46.10 (7),46.10 (7),0.00 (1),
