submission_pk,User,IoU Class,iIoU Class,IoU Category,iIoU Category,Accuracy
648154,xmj,0.66 (1),0.45 (1),0.88 (2),0.74 (1),0.83 (3),
648336,Samsung-SLSI-MSL-SS,0.66 (2),0.40 (3),0.88 (1),0.72 (2),0.83 (1),
647068,jesse1029,0.64 (3),0.40 (2),0.87 (3),0.71 (3),0.83 (2),
648340,DeepBlueAI,0.61 (4),0.37 (4),0.86 (4),0.69 (4),0.83 (4),
645365,hoya012,0.61 (5),0.37 (5),0.83 (6),0.62 (6),0.81 (6),
648308,MrGranddy,0.58 (6),0.33 (6),0.84 (5),0.63 (5),0.82 (5),
646087,rpytel,0.43 (7),0.22 (7),0.76 (7),0.55 (7),0.79 (8),
647305,baoqianyue,0.42 (8),0.19 (10),0.75 (8),0.52 (10),0.79 (7),
603102,fayzur20,0.40 (9),0.20 (8),0.74 (9),0.53 (8),0.78 (9),
599386,acdart,0.39 (10),0.19 (11),0.73 (10),0.51 (11),0.78 (10),
605589,attilalengyel,0.39 (11),0.19 (9),0.73 (11),0.52 (9),0.78 (11),
