submission_pk,User,APCER,BPCER,RANK<ACER>
563305,gesture_challenge,0.1296 (1),99.8333 (47),49.9815 (52),
563260,Bobo,0.1667 (2),1.1667 (3),0.6667 (1),
563158,hirotong,0.2963 (3),8.5000 (26),4.3981 (15),
564257,huangzh,0.5370 (4),4.2500 (16),2.3935 (7),
564665,Bin.,0.5926 (5),2.8333 (12),1.7130 (3),
564268,ccq195,0.6296 (6),2.7500 (11),1.6898 (2),
564091,enjoy_yourself,1.0556 (7),81.7500 (46),41.4028 (51),
557586,newland_tianyan,1.3704 (8),2.3333 (8),1.8519 (4),
564384,arctanxy,1.4074 (9),20.7500 (36),11.0787 (33),
564342,mac,1.7407 (10),49.7500 (44),25.7454 (44),
564210,skjack,1.7407 (10),49.7500 (44),25.7454 (44),
563405,qyxqyx,1.9074 (11),2.6667 (10),2.2870 (6),
564409,hulking,3.1296 (12),0.8333 (2),1.9815 (5),
564114,zhikang,3.1296 (12),1.9167 (6),2.5231 (8),
564287,ZhangTT,3.3704 (13),1.8333 (5),2.6019 (9),
563365,WangDH,3.3704 (13),1.8333 (5),2.6019 (9),
563956,llhz,3.4074 (14),4.1667 (15),3.7870 (13),
564061,zcl,3.5926 (15),8.3333 (25),5.9630 (18),
559687,qyxqyx,4.0185 (16),6.0000 (20),5.0093 (16),
561774,TOP,4.6111 (17),1.8333 (5),3.2222 (10),
560852,ZhangTT,4.8704 (18),1.6667 (4),3.2685 (11),
562014,qhaha,4.9444 (19),2.5833 (9),3.7639 (12),
558868,zsn100,5.2593 (20),25.1667 (38),15.2130 (38),
550792,ChuChunChuang,5.6296 (21),6.4167 (21),6.0231 (19),
564448,powermano,5.8148 (22),1.9167 (6),3.8657 (14),
564048,matchagreenteaa,6.2778 (23),8.5833 (27),7.4306 (26),
562549,zhzhzh,6.6481 (24),7.0000 (22),6.8241 (23),
560870,hulking,6.7222 (25),10.0000 (29),8.3611 (29),
564536,winnerRGB,7.2037 (26),5.6667 (19),6.4352 (21),
564155,yeap,7.3148 (27),19.8333 (35),13.5741 (36),
561783,zzzzz,7.7963 (28),5.6667 (19),6.7315 (22),
564089,QinBo,7.8519 (29),4.9167 (18),6.3843 (20),
560573,skjack,8.6852 (30),72.4167 (45),40.5509 (50),
564027,zjgp,9.1111 (31),2.7500 (11),5.9306 (17),
558717,coderlm,9.2963 (32),22.7500 (37),16.0231 (39),
559780,TOP,9.9630 (33),4.4167 (17),7.1898 (24),
564654,quentinyq,10.1111 (34),14.0000 (32),12.0556 (34),
560879,knock2,10.1481 (35),7.6667 (24),8.9074 (30),
564108,greenteaisyums,10.3148 (36),11.7500 (30),11.0324 (32),
562012,nocknock,10.7593 (37),3.8333 (14),7.2963 (25),
564128,justina_bieber,10.7778 (38),13.8333 (31),12.3056 (35),
564112,joy123,11.1852 (39),29.5833 (42),20.3843 (42),
563083,matchaisyums,12.1667 (40),9.7500 (28),10.9583 (31),
563123,SLIDES,12.6852 (41),3.1667 (13),7.9259 (27),
561969,greenteaislife,14.2222 (42),2.0000 (7),8.1111 (28),
561484,a.parkin,19.0185 (43),17.6667 (34),18.3426 (40),
564264,leo_hou,24.2037 (44),29.6667 (43),26.9352 (47),
564153,huangying2019,24.5926 (45),2.5833 (9),13.5880 (37),
564361,keeprun,25.0556 (46),28.1667 (40),26.6111 (46),
564415,mor,26.8148 (47),25.6667 (39),26.2407 (45),
559135,coderming,33.4815 (48),29.5000 (41),31.4907 (49),
563197,sabarinathan,36.7778 (49),7.3333 (23),22.0556 (43),
564352,superlow,39.0370 (50),15.2500 (33),27.1435 (48),
563387,quokka,39.3148 (51),0.5000 (1),19.9074 (41),
564365,lifeplayer,- (52),- (48),- (53),
564341,gpgp,- (52),- (48),- (53),
561371,huangzh,- (52),- (48),- (53),
