submission_pk,User,wer (%)
836521,Anonymous,23.98 (1),
837953,Anonymous,29.08 (2),
837087,Anonymous,29.58 (3),
834131,Anonymous,29.63 (4),
834823,Anonymous,30.61 (5),
828087,Anonymous,33.21 (6),
837428,Anonymous,37.05 (7),
837966,Anonymous,56.71 (8),
