submission_pk,User,EER
493079,zeinali,0.0142 (1),
492885,dgromero,0.0154 (2),
493103,TZ,0.0171 (3),
492981,liumeng,0.0192 (4),
493100,sixsixsix,0.0199 (5),
493069,ffzhou,0.0202 (6),
487581,DKU-TVM,0.0205 (7),
488530,Patric,0.0213 (8),
488903,chienlinhuang,0.0228 (9),
489452,NSYSU,0.0232 (10),
492249,xx205,0.0238 (11),
488861,Shelly_Zhou,0.0240 (12),
492747,mogambo,0.0244 (13),
493038,jac,0.0244 (14),
492836,Jenthe,0.0247 (15),
488261,tao_che,0.0253 (16),
493078,minsookim,0.0254 (17),
492983,vvestman,0.0255 (18),
493044,zs_test,0.0263 (19),
491300,zhangruiteng,0.0271 (20),
488783,dbird,0.0286 (21),
491072,Livefull,0.0286 (22),
492776,takoyaki,0.0290 (23),
485051,janyoti,0.0320 (24),
492627,tbd,0.0332 (25),
488410,a.yamshinin,0.0332 (26),
486929,chenqi,0.0334 (27),
493101,Sangwon,0.0335 (28),
483286,fivefivesixsix,0.0344 (29),
488658,TsinghuaMicro,0.0347 (30),
491338,kwh1990,0.0357 (31),
493056,PingAn2019,0.0367 (32),
492201,SRPOL,0.0375 (33),
492593,MingHsiangSu,0.0395 (34),
489449,swpark,0.0420 (35),
492683,dintas,0.0447 (36),
481936,nsysu-test,0.0449 (37),
489301,bliunlpr,0.0472 (38),
490352,pranoothatwar,0.0544 (39),
492727,miquelindia90,0.0572 (40),
492971,Taejun,0.0655 (41),
483975,k.anup,0.0699 (42),
481900,lbjcom,0.0716 (43),
492876,arushi,0.0750 (44),
488580,BritPop,0.1077 (45),
481683,vgg,0.1140 (46),
485001,ranchlai,0.1188 (47),
485432,rkddngus,0.1201 (48),
485117,ur0,0.1215 (49),
488914,balkce,0.1311 (50),
