submission_pk,User,AP@0.50,AP@0.25,AP@0.75
543325,guan,0.850329 (1),0.881716 (1),0.614462 (1),
543063,wrona,0.831631 (2),0.874398 (2),0.556199 (2),
543440,VIP,0.763208 (3),0.848619 (3),0.376455 (4),
543316,Mingbo_Hong,0.713009 (4),0.788435 (4),0.400968 (3),
540105,IPHD_baselines,0.524513 (5),0.675990 (6),0.159520 (5),
543348,lukaz,0.304122 (6),0.684691 (5),0.004468 (6),
542627,rip,0.001994 (7),0.031989 (7),0.000020 (7),
