submission_pk,User,f1,em
1048159,Ainur,0.87 (1),0.67 (2),
1054647,rafa.saddatimov,0.87 (1),0.67 (2),
1048868,antivist,0.87 (1),0.67 (2),
1048143,DariaB,0.87 (1),0.67 (2),
1048072,streltsov-ad,0.87 (1),0.67 (2),
1048070,i_pakhalko,0.87 (1),0.67 (2),
1048062,funnyasiandude,0.87 (1),0.67 (2),
1048043,SkrylDaria,0.87 (1),0.67 (2),
1047980,weegaboo,0.87 (1),0.67 (2),
1047971,esemerova,0.87 (1),0.67 (2),
1047959,rek,0.87 (1),0.67 (2),
1045892,Pavel_Yurlov,0.87 (1),0.67 (2),
1047742,nikich,0.87 (1),0.67 (2),
1047631,Alexander_Shirnin,0.87 (1),0.67 (2),
1047209,yulia_t,0.87 (1),0.67 (2),
1047170,Diana_Susla,0.87 (1),0.67 (2),
1047169,pokld,0.87 (1),0.67 (2),
1047168,tim_atnashev,0.87 (1),0.67 (2),
1046431,mashashkolnik,0.87 (1),0.67 (2),
1046243,dbaranovskaya,0.87 (1),0.67 (2),
1045971,timothyxp,0.87 (1),0.67 (2),
1045282,uhnsa,0.87 (1),0.67 (2),
1044692,Owlus,0.87 (1),0.67 (2),
1044503,silent,0.87 (1),0.67 (2),
1044182,madn,0.87 (1),0.67 (2),
1043955,namikhnenko,0.87 (1),0.67 (2),
1042615,jdev8,0.87 (2),0.68 (1),
970393,alenusch,0.86 (3),0.67 (4),
1043084,jattilainen,0.86 (4),0.67 (7),
1042594,Akim,0.86 (4),0.67 (7),
1038712,LeMondrok,0.86 (4),0.67 (7),
1043924,shamerd,0.86 (5),0.66 (8),
1047765,MIkezz1,0.86 (6),0.67 (3),
1046948,NevMem,0.86 (7),0.67 (6),
1046328,quynhu_d,0.86 (7),0.67 (6),
1027693,tvvankov,0.86 (7),0.67 (6),
1048178,matveevk,0.86 (8),0.67 (5),
1048122,abadyuk,0.86 (8),0.67 (5),
1048038,konodyuk,0.86 (8),0.67 (5),
1047982,boryasho,0.86 (8),0.67 (5),
1047278,DariaS,0.86 (8),0.67 (5),
1047763,Nikitamann,0.86 (8),0.67 (5),
1047745,Danila_Sedashov,0.86 (8),0.67 (5),
1047481,tizer_21,0.86 (8),0.67 (5),
1047291,FazletdinovEduard,0.86 (8),0.67 (5),
1047257,grumpy_gordon,0.86 (8),0.67 (5),
1047228,PankillerG,0.86 (8),0.67 (5),
1047048,agaev_farhat,0.86 (8),0.67 (5),
1046916,JulyKosheleva,0.86 (8),0.67 (5),
1046554,pvgrigorev,0.86 (8),0.67 (5),
1046259,subkhangulov,0.86 (8),0.67 (5),
1046231,nickkartashev,0.86 (8),0.67 (5),
1045201,ryanol,0.86 (8),0.67 (5),
1044013,kostyayatsok,0.86 (8),0.67 (5),
1043164,natdeni,0.86 (8),0.67 (5),
1042604,pmolodyk,0.86 (8),0.67 (5),
1042602,longjingyu,0.86 (8),0.67 (5),
1039202,nieto,0.86 (8),0.67 (5),
1046258,yarolika00,0.86 (9),0.67 (6),
1046529,dilara21,0.74 (10),0.57 (9),
970397,as2020,0.27 (11),0.00 (10),
