submission_pk,User,UIoU,Average UIoU,IoU
570619,petra.bevandic,37.90 (1),37.89 (1),36.10 (1),
622633,AInnovationAI,31.80 (2),20.66 (4),13.16 (5),
622484,kangxinxin,31.74 (3),20.66 (4),13.16 (5),
622443,snisarg812,30.71 (4),31.95 (2),24.85 (3),
622773,goodduck2,28.39 (5),31.23 (3),28.10 (2),
622744,promise,22.62 (6),14.95 (5),4.93 (6),
597958,qimw,15.68 (7),-100.00 (6),15.68 (4),
