submission_pk,User,AUC,Macro F1,Positive F1,Accuracy
1028933,shshen,0.7538 (1),0.6444 (1),0.8498 (5),0.7631 (3),
1021436,zrliu,0.7455 (2),0.5967 (5),0.8495 (6),0.7551 (6),
1058367,posanlang,0.7441 (3),0.6139 (3),0.8480 (7),0.7558 (5),
1089821,hilipati,0.7407 (4),0.6335 (2),0.8525 (4),0.7644 (1),
1116522,jsarraffe,0.7377 (5),0.5832 (8),0.8560 (2),0.7617 (4),
993369,doralene,0.7319 (6),0.5873 (6),0.8571 (1),0.7637 (2),
920143,twprice,0.7319 (6),0.5873 (6),0.8571 (1),0.7637 (2),
1018916,yzzhao,0.7223 (7),0.4263 (11),0.8527 (3),0.7432 (8),
919432,yshi26,0.7159 (8),0.5568 (9),0.8422 (9),0.7406 (9),
998047,bpaassen,0.6985 (9),0.6092 (4),0.8458 (8),0.7525 (7),
1007767,tanmayd27,0.6884 (10),0.5846 (7),0.8142 (10),0.7114 (10),
1013906,hfeild,0.5358 (11),0.5529 (10),0.7716 (11),0.6598 (11),
