submission_pk,User,< Rank >,MCC,F1 BAD,F1 OK,Disk Footprint (Bytes),Model Params
940315,HW-TSC,1.60 (1),0.4497 (1),0.7226 (1),0.7270 (1),2243954093.0 (2),560944640.0 (3),
940611,IST-Unbabel,2.60 (3),0.3702 (2),0.6854 (2),0.6843 (2),2294887576.0 (3),569368609.0 (4),
940586,fblain,2.40 (2),0.3131 (3),0.6742 (4),0.6306 (3),1142441796.0 (1),281297685.0 (1),
938456,sding,3.40 (4),0.1905 (4),0.6769 (3),0.1702 (4),6863178235.0 (4),484431872.0 (2),
submission_pk,User,< Rank >,MCC,F1 BAD,F1 OK,Disk Footprint (Bytes),Model Params
940315,HW-TSC,2.20 (2),0.2602 (1),0.2617 (1),0.9415 (4),2243954093.0 (2),560944640.0 (3),
940611,IST-Unbabel,2.60 (3),0.1772 (2),0.1925 (2),0.9763 (2),2294887576.0 (3),569368609.0 (4),
940586,fblain,2.00 (1),0.1342 (3),0.1449 (4),0.9767 (1),1142441796.0 (1),281297685.0 (1),
938456,sding,3.20 (4),0.1175 (4),0.1529 (3),0.9514 (3),6863178235.0 (4),484431872.0 (2),
submission_pk,User,< Rank >,MCC,F1 BAD,F1 OK,Disk Footprint (Bytes),Model Params
940315,HW-TSC,2.00 (1),0.3044 (1),0.5383 (1),0.7232 (2),2243954093.0 (3),560944640.0 (3),
940611,IST-Unbabel,2.60 (2),0.2939 (2),0.5220 (2),0.7579 (1),2294887576.0 (4),569368609.0 (4),
940586,fblain,2.60 (2),0.2492 (3),0.5010 (3),0.7197 (3),1142441796.0 (2),281297685.0 (2),
938456,sding,2.80 (3),0.0000 (4),0.0000 (4),0.0000 (4),0.0 (1),0.0 (1),
