submission_pk,User,Balanced accuracy
601259,zhuq2,0.77 (1),
600531,imriea,0.77 (2),
851129,wangz45,0.76 (3),
844519,rajankataria,0.76 (4),
601330,KatherineWeng,0.76 (5),
600023,schwan2,0.74 (6),
601357,zhuh12,0.74 (7),
851763,lir13,0.73 (8),
851415,cheny58,0.73 (8),
851021,xuz16,0.73 (8),
850985,wangy69,0.73 (8),
601296,yuw7,0.73 (8),
601223,titan2,0.73 (8),
601217,landom2,0.73 (8),
600573,smitha21,0.73 (9),
850750,wangy49,0.73 (10),
602335,huh6,0.72 (11),
601389,goodma,0.61 (12),
601338,miaoy2,0.61 (12),
600718,Qianxy23,0.61 (12),
1114089,qit3,0.60 (13),
1114056,sunj10,0.60 (13),
851052,bennek2,0.60 (13),
850474,bearda,0.60 (13),
656901,klemer,0.60 (13),
601824,olyerickson,0.60 (13),
601756,awal27,0.60 (13),
601482,xiaoz8,0.60 (13),
601423,liy62,0.60 (13),
601404,chana6,0.60 (13),
601396,lyux2,0.60 (13),
601369,littlj5,0.60 (13),
601343,Xinshi,0.60 (13),
601280,LyndonLynn,0.60 (13),
601255,davida4,0.60 (13),
601226,imadus,0.60 (13),
601145,pant2,0.60 (13),
601039,tannej2,0.60 (13),
601792,bollar,0.60 (13),
601371,clarkt5,0.60 (13),
601376,wuh5,0.60 (13),
597177,ngwetl,0.60 (13),
596671,bennek,0.60 (13),
544458,LouisHernandez,0.59 (14),
540622,pavao,0.52 (15),
601449,lij35,0.52 (16),
601332,littlj4,0.52 (17),
601326,louist,0.51 (18),
601312,podgoj,0.51 (19),
851072,hem4,0.50 (20),
850237,wangz455,0.50 (21),
601847,sigoub,0.50 (21),
601550,tanj9,0.50 (21),
601405,IDM_Dmay,0.50 (21),
601398,knissk,0.50 (21),
601339,dicovc,0.50 (21),
601306,chenc29,0.50 (21),
601299,pauldn,0.50 (21),
601257,cheny54,0.50 (21),
601249,patelr7,0.50 (21),
601224,bk3468,0.50 (21),
601184,esquic,0.50 (21),
601167,matkij,0.50 (21),
601148,VarunNair22,0.50 (21),
601125,mayerm2,0.50 (21),
600128,neusck,0.50 (21),
597797,chenw14,0.50 (21),
601336,xingj,-1.00 (22),
601189,pereze4,-1.00 (22),
