submission_pk,User,< Rank >,Pearson r,RMSE,MAE,Disk Footprint,Model Params
940590,IST-Unbabel,2.80 (2),0.8109 (1),0.1529 (1),0.1120 (2),2294887576.0 (5),569368609.0 (5),
939269,HW-TSC,2.60 (1),0.8094 (2),0.1538 (2),0.1099 (1),2243954093.0 (4),560944640.0 (4),
940559,fblain,3.40 (5),0.7139 (3),0.1954 (5),0.1488 (5),1142441796.0 (2),281297685.0 (2),
936008,shch,3.20 (4),0.6662 (4),0.1705 (3),0.1321 (3),1363652116.0 (3),502000000.0 (3),
938530,LisaIan,3.00 (3),0.5615 (5),0.1905 (4),0.1486 (4),65310657.0 (1),48.0 (1),
