submission_pk,User,mAP
485796,LiXingze,0.8730 (1),
485775,RuikuiWang,0.8515 (2),
485808,loo85213,0.8137 (3),
485829,chundi,0.8058 (4),
485546,jeff1jeffo,0.7959 (5),
485596,JoffreyLiu,0.7818 (6),
485717,Canappeco,0.7626 (7),
485564,SHTH,0.7463 (8),
485848,none,0.7402 (9),
485406,JiunHaoJhan,0.7019 (10),
481754,wider,0.5928 (11),
