submission_pk,User,F_0.5,P,R,TP,FP,FN
1101219,NickHough,78.79 (1),84.35 (10),62.36 (8),3368.0 (11),625.0 (43),2033.0 (46),
1004147,ShoPpinG,77.93 (2),86.43 (1),55.93 (23),2917.0 (29),458.0 (50),2298.0 (34),
969016,corrector_dl,77.26 (3),85.95 (2),55.01 (29),2960.0 (26),484.0 (49),2421.0 (23),
1082225,zaid,76.99 (4),85.69 (6),54.75 (30),2982.0 (24),498.0 (47),2465.0 (19),
758412,linhw,76.75 (5),84.97 (7),55.35 (26),2922.0 (28),517.0 (46),2357.0 (27),
778969,zxlxdf,76.59 (6),85.86 (3),53.48 (35),2733.0 (34),450.0 (52),2377.0 (25),
770206,WangLicheng,76.59 (6),84.45 (9),55.81 (24),2906.0 (30),535.0 (44),2301.0 (33),
1073572,AlexeySorokin,76.16 (7),81.00 (13),61.46 (10),3483.0 (9),817.0 (35),2184.0 (38),
767085,thx,75.71 (8),82.85 (12),56.29 (22),3025.0 (22),626.0 (42),2349.0 (29),
802493,zhoujunyu9102,75.59 (9),85.71 (4),51.34 (38),2735.0 (33),456.0 (51),2592.0 (9),
762162,Lenovo_coretech,75.39 (10),84.78 (8),52.23 (36),2724.0 (35),489.0 (48),2491.0 (15),
758289,TAL_ML_team,75.17 (11),85.70 (5),50.39 (40),2608.0 (36),435.0 (53),2568.0 (13),
651636,tempxx,75.16 (12),80.43 (15),59.55 (15),3198.0 (17),778.0 (36),2172.0 (40),
652039,pdzong,73.90 (13),83.02 (11),51.35 (37),2581.0 (37),528.0 (45),2445.0 (21),
736524,valuable,73.67 (14),78.81 (18),58.42 (16),3265.0 (12),878.0 (32),2324.0 (32),
1123274,mina146,73.60 (15),80.69 (14),54.45 (32),2963.0 (25),709.0 (40),2479.0 (16),
899277,YoavKatz,73.18 (16),78.31 (19),58.00 (18),3133.0 (19),868.0 (33),2269.0 (35),
767938,ShotaKoyama,72.76 (17),74.84 (23),65.51 (2),3774.0 (5),1269.0 (23),1987.0 (49),
904637,zyfeng,72.52 (18),79.27 (16),54.10 (34),2917.0 (29),763.0 (38),2475.0 (17),
901681,shaoqing,72.46 (19),79.18 (17),54.11 (33),2917.0 (29),767.0 (37),2474.0 (18),
1070884,Minsoo_,72.28 (20),73.71 (26),67.08 (1),3883.0 (2),1385.0 (17),1906.0 (50),
1059839,runyi,71.78 (21),77.67 (21),55.07 (28),2992.0 (23),860.0 (34),2441.0 (22),
643291,anmol_2112,71.49 (22),77.25 (22),55.08 (27),3086.0 (20),909.0 (31),2517.0 (14),
676374,abcd_zh,70.71 (23),72.71 (27),63.71 (6),3528.0 (8),1324.0 (21),2010.0 (48),
663144,RyneMac,70.40 (24),74.70 (25),57.21 (20),3163.0 (18),1071.0 (27),2366.0 (26),
