submission_pk,User,< Rank >,Pearson r,RMSE,MAE,Disk Footprint,Model Params
940539,IST-Unbabel,2.40 (3),0.5288 (1),0.2713 (3),0.1995 (2),2294887576.0 (3),569368609.0 (3),
940325,HW-TSC,1.60 (1),0.4750 (2),0.2494 (1),0.1961 (1),2243954093.0 (2),560944640.0 (2),
940564,fblain,2.00 (2),0.3058 (3),0.2619 (2),0.2058 (3),1142441796.0 (1),281297685.0 (1),
