submission_pk,User,mAP,bicycle,bus,car,motorbike,person
872636,BD_VIS,58.2972 (1),43.3874 (1),60.1091 (1),82.8888 (7),61.1606 (1),43.9399 (7),
872511,test_dry,54.0578 (2),35.6681 (15),43.9272 (4),82.8889 (6),59.6764 (2),48.1281 (3),
872227,tangweiyi,51.3780 (3),31.6085 (33),52.9158 (2),80.5443 (20),55.4671 (5),36.3544 (28),
872626,DeepBlueAI,50.4050 (4),38.7809 (2),26.0104 (8),82.9353 (4),58.4339 (4),45.8645 (5),
872165,lys,47.3497 (5),38.3104 (3),23.5831 (10),82.9320 (5),46.3204 (7),45.6026 (6),
871504,tangzixia,46.3857 (6),27.5636 (46),46.2171 (3),78.9296 (33),44.6258 (12),34.5922 (35),
872638,richardych,46.3233 (7),34.5698 (17),31.1845 (6),84.5440 (1),40.7376 (29),40.5809 (17),
872359,Rollin,46.1138 (8),35.8004 (13),26.0104 (8),82.9353 (4),42.7891 (20),43.0335 (9),
872213,Mh,45.6156 (9),33.5962 (24),16.4316 (44),83.4378 (2),58.9573 (3),35.6554 (30),
872471,ywx-ustc,45.5017 (10),36.7144 (7),30.7204 (7),82.8473 (8),40.5823 (32),36.6442 (27),
872182,wqm123,45.4926 (11),33.5962 (25),16.4377 (43),83.4378 (3),34.6296 (47),59.3619 (1),
872146,ForeverYoung,45.3147 (12),36.0452 (9),18.9556 (26),81.6418 (13),47.5681 (6),42.3630 (10),
872397,HarryPotter,45.2912 (13),37.0423 (6),21.9008 (12),81.7349 (12),43.7010 (16),42.0772 (13),
872340,whynot,44.7440 (14),34.1997 (19),30.7204 (7),81.5428 (15),40.0736 (33),37.1837 (25),
871955,GOOOODNIGHT,44.6093 (15),35.7070 (14),19.7217 (20),81.8982 (10),43.6963 (17),42.0234 (14),
872226,XiaoQiuQiu,44.5143 (16),33.8414 (20),21.3199 (14),80.3919 (26),44.6733 (11),42.3451 (11),
872393,hri,44.4662 (17),36.3895 (8),31.2875 (5),80.5327 (21),37.9992 (36),36.1220 (29),
