submission_pk,User,Accuracy
867636,daleshch,73.4504 (1),
861725,gusenica,73.3457 (2),
870146,eplumite,73.2643 (3),
865830,Glebzok,72.9038 (4),
865026,underdog,72.8340 (5),
867198,andreead,72.6712 (6),
896256,matveymor,72.5782 (7),
868491,annakey,72.5782 (7),
866264,ag3r,72.5782 (7),
867777,Allessyer,72.5084 (8),
867556,dkorzh10,72.2177 (9),
865685,maxs_kan,72.1712 (10),
868990,truepg,71.3688 (11),
866526,queen_s0,71.3571 (12),
862009,Daniil_Moskovskiy,70.9850 (13),
866724,player42,70.8803 (14),
867632,timotei.ardelean,70.7873 (15),
867578,vvshu,70.7640 (16),
867535,Artem_Vazhentsev,70.5547 (17),
862722,mariya,70.4035 (18),
868791,ekovtun,70.2291 (19),
866748,NEEEK,70.0663 (20),
869009,eugeneavd,69.4965 (21),
893227,A_a,67.6358 (22),
865843,gabriel_r,67.1357 (23),
865823,Ekaterina,66.7636 (24),
866714,ruslan_alive,64.5773 (25),
866784,kmisterios,61.3327 (26),
862452,palette_knife25,57.3206 (27),
850297,lilaspourpre,50.7036 (28),
